MB2013,AU2013
41402,501700
41403,501700
41500,501700
41600,501700
41700,501700
41800,501700
41900,501700
42001,501700
42002,501700
42101,501700
42102,501700
42103,501700
42201,501700
42202,501700
42300,501700
42400,501700
42500,501700
42600,501700
42700,501700
42800,501700
42900,501700
43000,501700
43100,501700
43200,501700
43300,501700
43400,501700
43500,501700
43600,501700
43700,501700
43800,501633
43902,501633
43904,501614
43905,501614
43906,501614
43907,501614
44003,501614
44004,501614
44005,501614
44006,500402
44007,501614
44008,501614
44102,501614
44201,501614
44301,501614
44403,501614
44404,501614
44405,501614
44406,501614
44501,501614
44503,500900
44504,500900
44505,500900
44506,500900
44507,500900
44508,500900
44602,500900
44603,500900
44604,500900
44605,500900
44606,500900
44607,500900
44608,500900
44609,500900
44610,500900
44611,500900
44701,501633
44702,501633
44703,501633
44801,501614
44803,500900
44804,500900
44805,500900
44806,500900
44807,500900
44808,500900
44901,501620
44902,501620
45000,501620
45100,501620
45200,501620
45300,501620
45400,501620
45500,501620
45600,501620
45700,501620
45800,501620
45901,501620
45902,501620
46001,501620
46002,501620
46100,501620
46200,501620
46300,501620
46400,501620
46500,501620
46600,501620
46700,501620
46801,501620
46802,501620
46901,501620
46902,501620
47001,501620
47002,501620
47100,501620
47200,501620
47301,501500
47302,501634
47400,501634
47500,501634
47601,501620
47602,501620
47603,501620
47701,501620
47702,501620
47801,501620
47802,501620
47901,501620
47902,501620
48001,501620
48004,501620
48102,501620
48203,501620
48204,501620
48205,501620
48303,501620
48304,501620
48404,501620
48407,501620
48408,501620
48409,501620
48410,501620
48500,501620
48602,501620
48702,501620
48800,501620
48900,501620
49000,501620
49102,501620
49103,501620
49104,501620
49204,501615
49206,501615
49302,500900
49303,500900
49304,500900
49305,500900
49306,500900
49307,500900
49401,500900
49403,500900
49404,500900
49405,500900
49406,500900
49407,500900
49501,500900
49502,500900
49503,500900
49504,500900
49505,500900
49506,500900
49507,500900
49600,500900
49700,500900
49801,501633
49802,501615
49901,500900
49903,500900
49904,500900
49905,500900
50001,500900
50002,501615
50003,501615
50004,501633
50100,500900
50201,501615
50202,501615
50303,501200
50304,501200
50305,501200
50306,501200
50307,501200
50308,501200
50309,501200
50310,501200
50311,501200
50400,501200
50501,501615
50503,501615
50602,501615
50603,501615
50604,501633
50605,501633
50701,501200
50703,501100
50704,501633
50705,501200
50706,501633
50708,501615
50802,501633
50803,501200
50804,501633
50805,501633
50806,501200
50901,501633
50902,501633
51000,501615
51101,501615
51102,501615
51201,501300
51202,501300
51300,501300
51401,501612
51402,501100
51403,501612
51405,501633
51406,501100
51407,501100
