Code,uPeSqKm,sdPeSqKm,EA_Name
199,0,0,1192228_5015002
200,0,0,1192228_5025002
201,0,0,1192228_5035002
202,0,0,1191880_5044883
203,0,0,1192803_5054977
204,0,0,1193884_5064154
205,0,0,1195349_5070817
206,0,0,1200477_4762253
207,0,0,1200889_4770002
208,0,0,1201204_4780096
209,0,0,1202989_4789517
210,0,0,1201879_4800501
211,0,0,1201115_4809912
212,0,0,1201706_4815438
213,0,0,1204167_4842358
214,0,0,1200894_4852562
215,0,0,1200889_4860002
216,0,0,1200889_4870002
217,0,0,1200889_4880002
218,0,0,1200889_4890002
219,0,0,1200889_4900002
220,0,0,1200889_4910002
221,0,0,1200889_4920002
222,0,0,1200889_4930002
223,0,0,1200889_4940002
224,0,0,1200889_4950002
225,0,0,1200889_4960002
226,0,0,1200889_4970002
227,0,0,1200889_4980002
228,0,0,1200889_4990002
229,0,0,1200889_5000002
230,0,0,1200889_5010002
231,0,0,1200889_5020002
232,0,0,1200889_5030002
233,0,0,1201034_5039961
234,0,0,1200889_5050002
235,0,0,1200889_5060002
236,0,0,1201030_5069703
237,0,0,1203407_5077753
238,0,0,1205206_5087628
239,0,0,1209140_4765673
240,0,0,1209549_4775002
241,0,0,1209497_4784989
242,0,0,1209549_4795002
243,0,0,1209549_4805002
244,0,0,1209285_4813157
245,0,0,1211935_4839711
246,0,0,1206810_4849398
247,0,0,1209482_4856101
248,0,0,1209549_4865002
249,0,0,1209549_4875002
250,0,0,1209549_4885002
251,0,0,1209549_4895002
252,0,0,1209549_4905002
253,0,0,1209549_4915002
254,0,0,1209549_4925002
255,0,0,1209549_4935002
256,0,0,1209549_4945002
257,0,0,1209549_4955002
258,0,0,1209549_4965002
259,0,0,1209549_4975002
260,0,0,1209549_4985002
261,0,0,1209549_4995002
262,0,0,1209549_5005002
263,0,0,1209549_5015002
264,0,0,1209549_5025002
265,0,0,1209549_5035002
266,0,0,1209549_5045002
267,0,0,1209549_5055002
268,0,0,1209549_5065002
269,0,0,1209568_5074953
270,0,0,1211031_5085580
271,0,0,1212778_5092462
