Code,proportionToHere
1,3.3596021713406577e-07
2,7.269498942240898e-07
3,1.200529781999421e-07
4,1.3959586549577694e-06
5,9.048714187764629e-07
6,1.4039207763787177e-06
7,4.5649896172857834e-07
8,1.425718635934148e-06
9,7.237239100563391e-07
10,1.063132476551411e-06
11,1.3773621861694898e-06
12,2.0845834977410086e-06
13,2.119760658862623e-06
14,2.119760658862623e-06
15,2.119760658862623e-06
16,7.037525337791797e-07
17,9.321701988617246e-07
18,1.4997574707010415e-07
19,1.6082910570237305e-06
20,1.935184299554058e-06
21,2.119760658862623e-06
22,2.119760658862623e-06
23,2.119760658862623e-06
24,2.119760658862623e-06
25,1.4056223516387715e-06
26,4.544618397879163e-07
27,3.194975690040059e-07
28,2.0732070178726348e-06
29,2.119760658862623e-06
30,1.8443297689951096e-06
31,2.119760658862623e-06
32,2.0360104288457563e-06
33,2.119760658862623e-06
34,1.3858336333475567e-06
35,1.2033721157927815e-07
36,7.425584395181069e-07
37,2.119760658862623e-06
38,1.8209728302000454e-06
39,1.3830490495145453e-06
40,6.087070094718108e-07
41,1.6211149089134062e-07
42,8.167357691907847e-07
43,2.119760658862623e-06
44,2.1174574193609977e-06
45,5.099982770739204e-07
46,6.57087265971712e-07
47,1.7951984191798072e-06
48,2.119760658862623e-06
49,2.119760658862623e-06
50,1.5904915170747806e-06
51,1.1998686122719308e-06
52,5.624943906526945e-07
53,3.2182707970364346e-07
54,2.119760658862623e-06
55,2.119760658862623e-06
56,2.119760658862623e-06
57,1.7517989874492433e-06
58,4.743901848090855e-07
59,1.517660214289621e-06
60,2.119760658862623e-06
61,1.3971796285032851e-06
62,5.59084011108571e-07
63,4.195749722789852e-07
64,1.4865530674602345e-07
65,4.3678286583357794e-06
66,2.5986655606872866e-06
67,5.968867097401925e-07
68,2.2054607997318044e-06
69,5.672878493813184e-08
70,2.059549782828994e-06
71,1.1253443330662019e-05
72,1.0844939987649299e-05
73,1.120373308948796e-05
74,7.628268656018065e-06
75,6.395424505860872e-06
76,4.623474240366566e-06
77,5.321725405768015e-06
78,2.339779257554975e-05
79,2.2183047353278424e-05
80,2.3035509008042183e-05
81,1.3614195877257816e-05
82,1.660445252663095e-05
83,8.07085641895745e-06
84,1.1096100535765765e-05
85,8.400006363548939e-06
86,1.1253443330662019e-05
87,1.1253443330662019e-05
88,1.1253443330662019e-05
89,1.0950943069154636e-05
90,1.116568993054528e-05
91,1.0261812019270555e-05
92,8.554801388380885e-06
93,7.118498613597159e-06
94,5.831767394984048e-06
95,1.5936247233998733e-06
96,5.564933520706897e-06
97,1.6905192130573354e-05
98,0.0005205583247431404
99,4.3395596216621985e-05
100,1.9140953955372398e-05
101,1.7363925288053496e-05
102,1.7363925288053496e-05
103,1.7362114834474477e-05
104,1.2396110614986805e-05
105,1.1253443330662019e-05
106,1.1253443330662019e-05
107,1.1253443330662019e-05
108,1.1253443330662019e-05
109,1.1253443330662019e-05
110,1.0716747501487243e-05
111,9.740345259185175e-06
112,8.554801388380885e-06
113,8.554801388380885e-06
114,8.554801388380885e-06
115,6.511751080366015e-06
116,8.509324178734009e-06
117,1.3614404219283021e-06
118,3.6049912557498225e-07
119,0.00013194696505563512
120,0.0007246067397490953
121,0.006995410069005491
122,0.0002977666565191149
123,2.0809800864356782e-05
124,1.7363925288053496e-05
125,1.9835835994342493e-05
126,1.7337762708124526e-05
127,1.2885045210934908e-05
128,1.1253443330662019e-05
129,1.1253443330662019e-05
130,1.1253443330662019e-05
131,1.1253443330662019e-05
132,1.1253443330662019e-05
133,1.0090058428319186e-05
134,8.554801388380885e-06
135,8.554801388380885e-06
136,8.554801388380885e-06
137,8.554801388380885e-06
138,8.554801388380885e-06
139,8.554801388380885e-06
140,7.0418633663669725e-06
