X,Y,proportionToHere,XXXNOTE
1760447.251,5433440.409,0.00011301151164070332,All these are the same as transitional facilities.
1760136.591,5433125.14,0.00011301151164070332,
1750839.099,5423540.7,0.00011301151164070332,
1749612.763,5429910.997,0.00011301151164070332,
1563364.654,5184255.56,0.0002762667165412659,
1565912.816,5178786.334,0.0002762667165412659,
1564509.105,5184650.441,0.0002762667165412659,
1560972.388,5176046.454,0.0002762667165412659,
1563400.927,5184034.382,0.0002762667165412659,
1560018.837,5179043.563,0.0002762667165412659,
1573646.479,5182430.719,0.0002762667165412659,
1758846.538,5433707.259,0.00011301151164070332,
1569060.36,5179069.591,0.0002762667165412659,
1565876.131,5179230.077,0.0002762667165412659,
1561122.296,5177602.924,0.0002762667165412659,
1563183.201,5179393.563,0.0002762667165412659,
1562722.283,5179377.216,0.0002762667165412659,
1764170.686,5438475.207,0.00011301151164070332,
1569342.551,5179121.241,0.0002762667165412659,
1567120.493,5179364.36,0.0002762667165412659,
1565454.797,5178557.78,0.0002762667165412659,
1775131.308,5576917.172,0.00011301151164070332,
1696384,5676385,0.00023653277238849137,
1692668.831,5672344.433,0.00013424446652701805,
1764568.005,5904257.476,0.00013424446652701805,
1768233.543,5908004.094,0.00013424446652701805,
1763655.94,5910400.328,0.00013424446652701805,
1766113,5902835,0.00013424446652701805,
1749756.434,5913961.703,0.00013424446652701805,
1756803.193,5919326.045,0.00013424446652701805,
1750296.009,5916719.284,0.00013424446652701805,
1748633.884,5918089.962,0.00013424446652701805,
1763698.885,5910073.673,0.00013424446652701805,
1756771.965,5919939.26,0.00013424446652701805,
1761429.978,5912182.194,0.00013424446652701805,
1746864.034,5922688.629,0.00013424446652701805,
1765883.582,5902537.84,0.00023653277238849137,
2035329.265,5708116.485,0.00013424446652701805,
1721576.14,6042888.033,0.00013424446652701805,
1763284.477,5909798.577,0.00013424446652701805,
1758470.645,5906498.062,0.00013424446652701805,
1761047.517,5912414.062,0.00013424446652701805,
1773395,5891784,0.00013424446652701805,
1755578.492,5928645.295,0.00013424446652701805,
1755286.71,5928504.578,0.00013424446652701805,
1772817.768,5896612.768,0.00013424446652701805,
1763393.789,5909312.965,0.00013424446652701805,
1761150.757,5911618.79,0.00013424446652701805,
1770873.493,5898388.05,0.00013424446652701805,
1769675.7,5880318.22,0.00013424446652701805,
1799036.402,5814814.006,0.00023653277238849137,
1798621.996,5815532.164,0.00013424446652701805,
1759171.399,5921065.454,0.00023653277238849137,
1936701.253,5623088.283,0.0009226248739539693,
2037389.471,5707753.538,0.00013424446652701805,
1764032.758,5911983.96,0.00013424446652701805,
1762039.361,5909216.537,0.00023653277238849137,
1241980.369,4850041.865,0.0008135077219865082,
1285718,4885046,0.0008135077219865082,
1242496.34,4829055.419,0.0008135077219865082,
1242496.34,4829055.419,0.0008135077219865082,
1764334.708,5438842.595,0.00011301151164070332,
1569638.878,5178884.357,0.0002762667165412659,
1407314.76,4917660.64,0.0008135077219865082,
1406338,4915370,0.0008135077219865082,
1498701,5138128,0.0002762667165412659,
1751875.044,5432308.195,0.00011301151164070332,
1459450.47,5115438.036,0.0002762667165412659,
1577358.837,5172080.228,0.0002762667165412659,
1764748.03,5912256.579,0.00013424446652701805,
1770283,5899494,0.00023653277238849137,
1820145.997,5530510.453,0.00011301151164070332,
1881152,5828612,0.00023653277238849137,
1758040.79,5906758.34,0.00023653277238849137,
1749576.538,5429636.91,0.00011301151164070332,
1802951.029,5816505.198,0.00013424446652701805,
1763902.914,5910067.631,0.00013424446652701805,
1763478.999,5911681.235,0.00013424446652701805,
1763566.816,5910343.514,0.00013424446652701805,
1773701.44,5887145.814,0.00013424446652701805,
1761303.523,5911841.977,0.00013424446652701805,
1755500.743,5918665.087,0.00023653277238849137,
1934395.115,5621715.634,0.0009226248739539693,
1761086.859,5911728.173,0.00023653277238849137,
1869912.826,5712950.131,0.0009226248739539693,
1933600,5609038,0.0009226248739539693,
1831723,5833302,0.00023653277238849137,
1415357.944,4923942.045,0.0008135077219865082,
1402176.985,4913729.233,0.0008135077219865082,
1764558.284,5908578.571,0.00023653277238849137,
1882343,5826425.81,0.00023653277238849137,
1933553.946,5619820.405,0.0009226248739539693,
1929425.773,5605182.46,0.00013424446652701805,
1763502.502,5909945.929,0.00023653277238849137,
1753651.258,5444963.969,0.00011301151164070332,
1759929,5903683,0.00023653277238849137,
1823507,5464746,0.00011301151164070332,
1758946.253,5433642.512,0.00011301151164070332,
1760482.184,5433383.962,0.00011301151164070332,
1775741.224,5900389.75,0.00023653277238849137,
1564622.58,5178424.769,0.0002762667165412659,
1879570.571,5825850.303,0.00023653277238849137,
1882853.61,5826556.41,0.00023653277238849137,
1758396.642,5906250.627,0.00023653277238849137,
1880822.064,5826593,0.00023653277238849137,
1758006.995,5906084.358,0.00023653277238849137,
1936701.253,5623088.283,0.0009226248739539693,
1758246.809,5920978.633,0.00023653277238849137,
1760486.142,5432463.98,0.00013424446652701805,
1751631.338,5927351.97,0.00023653277238849137,
1768315.124,5468377.723,0.00013424446652701805,
1764560.828,5912469.345,0.00013424446652701805,
1762752,5909299,0.00023653277238849137,
1758407.765,5435295.393,0.00011301151164070332,
1759400.873,5432281.69,0.00011301151164070332,
1752411.942,5931565.555,0.00023653277238849137,
1753299.952,5442908.334,0.00013424446652701805,
1764269.87,5909474.892,0.00013424446652701805,
1758452.655,5906776.764,0.00023653277238849137,
1571854.657,5178568.745,0.0002762667165412659,
1825396,5531916,0.00011301151164070332,
1749576.538,5429636.91,0.00011301151164070332,
1766309.103,5904832.355,0.00013424446652701805,
1799556.142,5815115.468,0.00023653277238849137,
1406721.849,4914912.682,0.0008135077219865082,
1407563.41,4917098.31,0.0008135077219865082,
1824431.854,5531270.414,0.00011301151164070332,
1749576.538,5429636.91,0.00011301151164070332,
1623298.769,5432288.63,0.00013424446652701805,
1768890.338,5907875.233,0.00023653277238849137,
1701394.609,5679202.943,0.00023653277238849137,
1814706.413,5524649.093,0.00013424446652701805,
1746864.034,5922688.629,0.00013424446652701805,
1744315.011,5925199.771,0.00023653277238849137,
1496628.094,5135831.739,0.0002762667165412659,
1816920.937,5523478.686,0.00011301151164070332,
1751617,5422704,0.00011301151164070332,
1764398.128,5906113.683,0.00023653277238849137,
1758914.704,5436009.968,0.00011301151164070332,
1749576.538,5429636.91,0.00011301151164070332,
1758954.211,5919955.534,0.00013424446652701805,
