Code,EI_min_cor,EI_max_cor,EI_avg_cor,GI_min_cor,GI_max_cor,GI_avg_cor
1,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
2,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
3,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
4,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
5,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
6,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
7,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
8,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
9,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
10,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
11,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
12,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
13,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
14,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
15,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
16,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
17,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
18,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
19,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
20,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
21,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
22,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
23,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
24,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
25,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
26,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
27,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
28,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
29,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
30,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
31,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
32,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
33,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
34,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
35,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
36,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
37,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
38,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
39,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
40,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
41,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
42,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
43,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
44,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
45,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
46,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
47,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
48,0.0,29.762,3.00064007597341,0.0,29.762,4.4732150997151
