Code,AU2013_NAM,EI_min,EI_max,EI_mean,EI_count,EI_median,EI_stdev,GI_min,GI_max,GI_mean,GI_count,GI_median,GI_stdev,Latitude,Longitude,EI,GI,generations,CS,HS,DS,WS,EI_min_cor,EI_max_cor,EI_avg_cor,GI_min_cor,GI_max_cor,GI_avg_cor
567901,Cloustonville,0,30.946,10.8645,14,6.584,11.42081067,0,30.946,10.8645,14,6.584,11.42081067,-41.025,175.125,0.632,0.632,2.55,0,0,0,0,0,30.946,10.8645,0,30.946,10.8645
567902,Mangaroa,7.801,15.841,13.111,4,14.401,3.609343523,7.801,15.841,13.111,4,14.401,3.609343523,-41.175,175.125,14.63,14.63,2.22,0,0,0,0,7.801,15.841,13.111,7.801,15.841,13.111
568101,Tawhai,,,,0,,,,,,0,,,-41.175,174.975,32.035,32.035,2.77,0,0,0,0,32.035,32.035,32.035,32.035,32.035,32.035
568102,Holborn,32.035,32.035,32.035,1,32.035,,32.035,32.035,32.035,1,32.035,,-41.175,174.975,32.035,32.035,2.77,0,0,0,0,32.035,32.035,32.035,32.035,32.035,32.035
568103,Delaney,,,,0,,,,,,0,,,-41.175,174.975,32.035,32.035,2.77,0,0,0,0,32.035,32.035,32.035,32.035,32.035,32.035
568104,Manuka,,,,0,,,,,,0,,,-41.175,174.975,32.035,32.035,2.77,0,0,0,0,32.035,32.035,32.035,32.035,32.035,32.035
568201,Taita North,,,,0,,,,,,0,,,-41.175,174.975,32.035,32.035,2.77,0,0,0,0,32.035,32.035,32.035,32.035,32.035,32.035
568202,Taita South,,,,0,,,,,,0,,,-41.175,174.975,32.035,32.035,2.77,0,0,0,0,32.035,32.035,32.035,32.035,32.035,32.035
568301,Avalon East,,,,0,,,,,,0,,,-41.175,174.925,34.484,34.484,2.61,0,0,0,0,34.484,34.484,34.484,34.484,34.484,34.484
568302,Naenae North,,,,0,,,,,,0,,,-41.225,174.975,21.597,21.597,2.59,0,0,0,0,21.597,21.597,21.597,21.597,21.597,21.597
568303,Naenae South,,,,0,,,,,,0,,,-41.225,174.975,21.597,21.597,2.59,0,0,0,0,21.597,21.597,21.597,21.597,21.597,21.597
568401,Avalon West,,,,0,,,,,,0,,,-41.175,174.925,34.484,34.484,2.61,0,0,0,0,34.484,34.484,34.484,34.484,34.484,34.484
568402,Boulcott,,,,0,,,,,,0,,,-41.175,174.925,34.484,34.484,2.61,0,0,0,0,34.484,34.484,34.484,34.484,34.484,34.484
568501,Epuni West,,,,0,,,,,,0,,,-41.225,174.925,34.435,34.435,2.81,0,0,0,0,34.435,34.435,34.435,34.435,34.435,34.435
568502,Epuni East,,,,0,,,,,,0,,,-41.225,174.925,34.435,34.435,2.81,0,0,0,0,34.435,34.435,34.435,34.435,34.435,34.435
568601,Waterloo West,,,,0,,,,,,0,,,-41.225,174.925,34.435,34.435,2.81,0,0,0,0,34.435,34.435,34.435,34.435,34.435,34.435
568602,Waterloo East,,,,0,,,,,,0,,,-41.225,174.925,34.435,34.435,2.81,0,0,0,0,34.435,34.435,34.435,34.435,34.435,34.435
568701,Waiwhetu North,34.435,34.435,34.435,1,34.435,,34.435,34.435,34.435,1,34.435,,-41.225,174.925,34.435,34.435,2.81,0,0,0,0,34.435,34.435,34.435,34.435,34.435,34.435
568702,Waiwhetu South,,,,0,,,,,,0,,,-41.225,174.925,34.435,34.435,2.81,0,0,0,0,34.435,34.435,34.435,34.435,34.435,34.435
568800,Gracefield,,,,0,,,,,,0,,,-41.225,174.925,34.435,34.435,2.81,0,0,0,0,34.435,34.435,34.435,34.435,34.435,34.435
568900,Moera,,,,0,,,,,,0,,,-41.225,174.925,34.435,34.435,2.81,0,0,0,0,34.435,34.435,34.435,34.435,34.435,34.435
569001,Woburn North,,,,0,,,,,,0,,,-41.225,174.925,34.435,34.435,2.81,0,0,0,0,34.435,34.435,34.435,34.435,34.435,34.435
569002,Woburn South,,,,0,,,,,,0,,,-41.225,174.925,34.435,34.435,2.81,0,0,0,0,34.435,34.435,34.435,34.435,34.435,34.435
569100,Hutt Central,,,,0,,,,,,0,,,-41.225,174.925,34.435,34.435,2.81,0,0,0,0,34.435,34.435,34.435,34.435,34.435,34.435
569201,Melling,,,,0,,,,,,0,,,-41.225,174.875,39.513,39.513,2.79,0,0,0,0,39.513,39.513,39.513,39.513,39.513,39.513
569202,Alicetown,,,,0,,,,,,0,,,-41.225,174.875,39.513,39.513,2.79,0,0,0,0,39.513,39.513,39.513,39.513,39.513,39.513
569301,Normandale,,,,0,,,,,,0,,,-41.175,174.875,34.589,34.589,2.53,0,0,0,0,34.589,34.589,34.589,34.589,34.589,34.589
569302,Maungaraki,,,,0,,,,,,0,,,-41.225,174.875,39.513,39.513,2.79,0,0,0,0,39.513,39.513,39.513,39.513,39.513,39.513
569401,Tirohanga,,,,0,,,,,,0,,,-41.175,174.925,34.484,34.484,2.61,0,0,0,0,34.484,34.484,34.484,34.484,34.484,34.484
569402,Belmont,34.484,34.484,34.484,1,34.484,,34.484,34.484,34.484,1,34.484,,-41.175,174.925,34.484,34.484,2.61,0,0,0,0,34.484,34.484,34.484,34.484,34.484,34.484
569500,Kelson,,,,0,,,,,,0,,,-41.175,174.925,34.484,34.484,2.61,0,0,0,0,34.484,34.484,34.484,34.484,34.484,34.484
569600,Haywards-Manor Park,,,,0,,,,,,0,,,-41.175,174.975,32.035,32.035,2.77,0,0,0,0,32.035,32.035,32.035,32.035,32.035,32.035
569800,Korokoro,,,,0,,,,,,0,,,-41.225,174.875,39.513,39.513,2.79,0,0,0,0,39.513,39.513,39.513,39.513,39.513,39.513
