"ClimateZone","Code","N_models","N_species","EI_min","EI_max","EI_count","GI_min","GI_max","GI_count","Latitude","Longitude","EI","GI","generations","CS","HS","DS","WS","EI_min_cor","EI_max_cor","EI_avg_cor","GI_min_cor","GI_max_cor","GI_avg_cor"
"Tropical","539500","7.0","4.0","","","0.0","","","0.0","-38.125","176.225","9.2323125","11.18325","1.345625","66.5326875","0.0","0.0","0.0","0.0","18.369","9.2323125","3.465","26.217","11.18325"
"Tropical","539600","7.0","4.0","","","0.0","","","0.0","-38.125","176.225","9.2323125","11.18325","1.345625","66.5326875","0.0","0.0","0.0","0.0","18.369","9.2323125","3.465","26.217","11.18325"
"Tropical","539700","7.0","4.0","","","0.0","","","0.0","-38.125","176.225","9.2323125","11.18325","1.345625","66.5326875","0.0","0.0","0.0","0.0","18.369","9.2323125","3.465","26.217","11.18325"
"Tropical","539800","7.0","4.0","","","0.0","","","0.0","-38.175","176.225","4.296125","10.0365625","1.174375","73.62275","0.0","0.0","0.0","0.0","12.513","4.296125","2.636","23.166","10.0365625"
"Tropical","539900","7.0","4.0","","","0.0","","","0.0","-38.125","176.225","9.2323125","11.18325","1.345625","66.5326875","0.0","0.0","0.0","0.0","18.369","9.2323125","3.465","26.217","11.18325"
"Tropical","540000","7.0","4.0","","","0.0","","","0.0","-38.175","176.225","4.296125","10.0365625","1.174375","73.62275","0.0","0.0","0.0","0.0","12.513","4.296125","2.636","23.166","10.0365625"
"Tropical","540100","7.0","4.0","","","0.0","","","0.0","-38.125","176.225","9.2323125","11.18325","1.345625","66.5326875","0.0","0.0","0.0","0.0","18.369","9.2323125","3.465","26.217","11.18325"
"Tropical","540200","7.0","4.0","","","0.0","","","0.0","-38.125","176.225","9.2323125","11.18325","1.345625","66.5326875","0.0","0.0","0.0","0.0","18.369","9.2323125","3.465","26.217","11.18325"
"Tropical","540300","7.0","4.0","","","0.0","","","0.0","-38.125","176.225","9.2323125","11.18325","1.345625","66.5326875","0.0","0.0","0.0","0.0","18.369","9.2323125","3.465","26.217","11.18325"
"Tropical","540410","7.0","4.0","","","0.0","","","0.0","-38.125","176.225","9.2323125","11.18325","1.345625","66.5326875","0.0","0.0","0.0","0.0","18.369","9.2323125","3.465","26.217","11.18325"
"Tropical","540420","7.0","4.0","","","0.0","","","0.0","-38.125","176.275","10.0441875","11.831","1.38375","63.975125","0.0","0.0","0.0","0.0","18.919","10.0441875","3.718","26.883","11.831"
"Tropical","540510","7.0","4.0","","","0.0","","","0.0","-38.175","176.275","8.6205","10.4495625","1.253125","70.795625","0.0","0.0","0.0","0.0","17.121","8.6205","3.082","24.604","10.4495625"
"Tropical","540520","7.0","4.0","","","0.0","","","0.0","-38.125","176.225","9.2323125","11.18325","1.345625","66.5326875","0.0","0.0","0.0","0.0","18.369","9.2323125","3.465","26.217","11.18325"
"Tropical","540600","7.0","4.0","","","0.0","","","0.0","-38.175","176.275","8.6205","10.4495625","1.253125","70.795625","0.0","0.0","0.0","0.0","17.121","8.6205","3.082","24.604","10.4495625"
"Tropical","540700","7.0","4.0","","","0.0","","","0.0","-38.175","176.275","8.6205","10.4495625","1.253125","70.795625","0.0","0.0","0.0","0.0","17.121","8.6205","3.082","24.604","10.4495625"
"Tropical","540900","7.0","4.0","0.0","31.463","1.0","5.747","31.463","1.0","-38.375","175.775","17.0470625","19.1490625","1.468125","66.6361875","0.0","0.0","0.0","0.0","31.463","17.0470625","5.747","31.463","19.1490625"
