"ClimateZone","Code","N_models","N_species","EI_min","EI_max","EI_count","GI_min","GI_max","GI_count","Latitude","Longitude","EI","GI","generations","CS","HS","DS","WS","EI_min_cor","EI_max_cor","EI_avg_cor","GI_min_cor","GI_max_cor","GI_avg_cor"
"Subtropical","596400","6.0","5.0","","","0.0","","","0.0","-43.575","172.675","10.3394","17.2322","1.053","45.8158","0.0","0.0","0.0","0.0","44.417","10.3394","0.0","44.417","17.2322"
"Subtropical","596502","6.0","5.0","0.0","10.564","1.0","0.0","20.624","1.0","-43.675","172.725","1.0564","10.1718","0.783","63.0042","0.0","0.0","0.0","0.0","10.564","1.0564","0.0","20.624","10.1718"
"Subtropical","596503","6.0","5.0","0.0","29.867","2.0","0.0","34.677","2.0","-43.675","172.625","0.0","11.5352","0.712","199.8","0.0","0.0","0.0","0.0","29.867","3.7798","0.0","34.677","12.9671"
"Subtropical","596504","6.0","5.0","","","0.0","","","0.0","-43.625","172.625","0.0","11.384","0.694","199.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","34.494","11.384"
"Subtropical","596600","6.0","5.0","0.0","41.031","4.0","0.0","41.031","4.0","-43.675","172.825","5.8508","13.4446","1.191","39.8776","0.0","0.0","0.0","0.0","41.031","8.589575","0.0","41.031","15.168925"
"Subtropical","596800","6.0","5.0","","","0.0","","","0.0","-43.825","172.975","6.4738","12.9274","1.001","49.7942","0.0","0.0","0.0","0.0","25.031","6.4738","0.0","25.031","12.9274"
"Subtropical","596901","6.0","5.0","0.0","38.682","5.0","0.0","38.682","5.0","-43.825","172.975","6.4738","12.9274","1.001","49.7942","0.0","0.0","0.0","0.0","38.682","5.66582","0.0","38.682","12.06706"
"Subtropical","596902","6.0","5.0","0.0","36.293","13.0","0.0","36.293","13.0","-43.725","172.975","0.0","6.9828","0.645","79.5238","0.0","0.0","0.0","0.0","36.293","4.24104615384615","0.0","36.293","10.7669538461538"
"Subtropical","597000","6.0","5.0","","","0.0","","","0.0","-41.075","176.075","18.3073","22.0131","1.461","31.4592","0.0","0.0","0.0","0.0","50.752","18.3073","0.0","50.752","22.0131"
"Subtropical","597101","6.0","5.0","0.0","48.169","16.0","0.0","48.169","16.0","-43.775","172.725","7.9429","13.7625","0.898","55.8154","0.0","0.0","0.0","0.0","48.169","5.6674375","0.0","48.169","12.250375"
"Subtropical","597102","6.0","5.0","0.0","48.327","2.0","0.0","48.327","2.0","-43.775","172.575","10.7682","17.4924","1.11","41.801","0.0","0.0","0.0","0.0","48.327","10.74035","0.0","48.327","17.65925"
"Subtropical","597200","6.0","5.0","","","0.0","","","0.0","-43.625","172.475","10.5749","17.3727","1.13","41.1218","0.0","0.0","0.0","0.0","47.957","10.5749","0.0","47.957","17.3727"
"Subtropical","597300","6.0","5.0","","","0.0","","","0.0","-43.775","172.275","10.5129","18.1339","1.154","42.1122","0.0","0.0","0.0","0.0","45.458","10.5129","0.0","45.458","18.1339"
"Subtropical","597400","6.0","5.0","","","0.0","","","0.0","-43.825","172.275","10.3848","18.0366","1.157","41.348","0.0","0.0","0.0","0.0","43.854","10.3848","0.0","43.854","18.0366"
"Subtropical","597503","6.0","5.0","","","0.0","","","0.0","-43.675","172.175","10.2939","17.7759","1.13","121.7406","0.0","0.0","0.0","0.0","44.109","10.2939","0.0","44.109","17.7759"
"Subtropical","597505","6.0","5.0","0.0","48.308","7.0","0.0","48.308","7.0","-43.775","172.425","10.66","17.9708","1.161","41.0048","0.0","0.0","0.0","0.0","48.308","10.6906571428571","0.0","48.308","17.8936571428571"
"Subtropical","597506","6.0","5.0","0.0","47.638","38.0","0.0","47.638","38.0","-43.725","172.175","10.0549","17.2921","1.098","69.3078","0.0","0.0","0.0","0.0","47.638","8.90419210526316","0.0","47.638","16.2418078947368"
"Subtropical","597507","6.0","5.0","","","0.0","","","0.0","-43.625","172.375","10.614","17.7834","1.138","46.554","0.0","0.0","0.0","0.0","47.328","10.614","0.0","47.328","17.7834"
"Subtropical","597508","6.0","5.0","","","0.0","","","0.0","-43.625","172.375","10.614","17.7834","1.138","46.554","0.0","0.0","0.0","0.0","47.328","10.614","0.0","47.328","17.7834"
