"ClimateZone","Code","N_models","N_species","EI_min","EI_max","EI_count","GI_min","GI_max","GI_count","Latitude","Longitude","EI","GI","generations","CS","HS","DS","WS","EI_min_cor","EI_max_cor","EI_avg_cor","GI_min_cor","GI_max_cor","GI_avg_cor"
"Dry","576301","1.0","1.0","","","0.0","","","0.0","-41.325","174.775","19.12","19.12","1.12","0.0","0.0","0.0","0.0","19.12","19.12","19.12","19.12","19.12","19.12"
"Dry","576302","1.0","1.0","","","0.0","","","0.0","-41.325","174.775","19.12","19.12","1.12","0.0","0.0","0.0","0.0","19.12","19.12","19.12","19.12","19.12","19.12"
"Dry","576400","1.0","1.0","","","0.0","","","0.0","-41.325","174.775","19.12","19.12","1.12","0.0","0.0","0.0","0.0","19.12","19.12","19.12","19.12","19.12","19.12"
"Dry","576500","1.0","1.0","","","0.0","","","0.0","-41.325","174.775","19.12","19.12","1.12","0.0","0.0","0.0","0.0","19.12","19.12","19.12","19.12","19.12","19.12"
"Dry","576600","1.0","1.0","","","0.0","","","0.0","-41.275","174.775","18.965","18.965","1.11","0.0","0.0","0.0","0.0","18.965","18.965","18.965","18.965","18.965","18.965"
"Dry","576700","1.0","1.0","","","0.0","","","0.0","-41.275","174.775","18.965","18.965","1.11","0.0","0.0","0.0","0.0","18.965","18.965","18.965","18.965","18.965","18.965"
"Dry","576800","1.0","1.0","","","0.0","","","0.0","-41.325","174.775","19.12","19.12","1.12","0.0","0.0","0.0","0.0","19.12","19.12","19.12","19.12","19.12","19.12"
"Dry","576901","1.0","1.0","","","0.0","","","0.0","-41.325","174.775","19.12","19.12","1.12","0.0","0.0","0.0","0.0","19.12","19.12","19.12","19.12","19.12","19.12"
"Dry","576903","1.0","1.0","","","0.0","","","0.0","-41.325","174.775","19.12","19.12","1.12","0.0","0.0","0.0","0.0","19.12","19.12","19.12","19.12","19.12","19.12"
"Dry","577000","1.0","1.0","","","0.0","","","0.0","-41.325","174.825","19.836","19.836","1.16","0.0","0.0","0.0","0.0","19.836","19.836","19.836","19.836","19.836","19.836"
"Dry","577101","1.0","1.0","","","0.0","","","0.0","-41.325","174.825","19.836","19.836","1.16","0.0","0.0","0.0","0.0","19.836","19.836","19.836","19.836","19.836","19.836"
"Dry","577102","1.0","1.0","19.836","19.836","1.0","19.836","19.836","1.0","-41.325","174.825","19.836","19.836","1.16","0.0","0.0","0.0","0.0","19.836","19.836","19.836","19.836","19.836","19.836"
"Dry","577200","1.0","1.0","","","0.0","","","0.0","-41.325","174.825","19.836","19.836","1.16","0.0","0.0","0.0","0.0","19.836","19.836","19.836","19.836","19.836","19.836"
"Dry","577301","1.0","1.0","","","0.0","","","0.0","-41.325","174.825","19.836","19.836","1.16","0.0","0.0","0.0","0.0","19.836","19.836","19.836","19.836","19.836","19.836"
"Dry","577302","1.0","1.0","","","0.0","","","0.0","-41.325","174.825","19.836","19.836","1.16","0.0","0.0","0.0","0.0","19.836","19.836","19.836","19.836","19.836","19.836"
"Dry","577400","1.0","1.0","","","0.0","","","0.0","-41.325","174.825","19.836","19.836","1.16","0.0","0.0","0.0","0.0","19.836","19.836","19.836","19.836","19.836","19.836"
"Dry","577500","1.0","1.0","","","0.0","","","0.0","-41.325","174.825","19.836","19.836","1.16","0.0","0.0","0.0","0.0","19.836","19.836","19.836","19.836","19.836","19.836"
"Dry","577601","1.0","1.0","","","0.0","","","0.0","-41.325","174.825","19.836","19.836","1.16","0.0","0.0","0.0","0.0","19.836","19.836","19.836","19.836","19.836","19.836"
"Dry","577602","1.0","1.0","","","0.0","","","0.0","-41.325","174.825","19.836","19.836","1.16","0.0","0.0","0.0","0.0","19.836","19.836","19.836","19.836","19.836","19.836"
"Dry","577700","1.0","1.0","0.0","18.323","5.0","14.966","18.323","5.0","-41.275","174.725","17.235","17.235","1.01","0.0","0.0","0.0","0.0","0.0","18.323","10.6332","14.966","18.323","16.8864"
"Dry","577900","1.0","1.0","0.0","18.926","33.0","8.872","18.926","33.0","-40.475","175.875","17.232","17.232","1.01","0.0","0.0","0.0","0.0","0.0","18.926","8.08806060606061","8.872","18.926","15.7344545454545"
