"Species","Code","N_models","EI_min","EI_max","EI_count","GI_min","GI_max","GI_count","Latitude","Longitude","EI","GI","generations","CS","HS","DS","WS","EI_min_cor","EI_max_cor","EI_avg_cor","GI_min_cor","GI_max_cor","GI_avg_cor"
"Sitona lineatus","521112","1.0","32.696","32.696","1.0","32.696","32.696","1.0","-37.225","174.875","32.696","32.696","5.75","0.0","0.0","0.0","0.0","32.696","32.696","32.696","32.696","32.696","32.696"
"Sitona lineatus","521114","1.0","35.445","35.445","1.0","35.445","35.445","1.0","-37.275","174.925","35.445","35.445","6.22","0.0","0.0","0.0","0.0","35.445","35.445","35.445","35.445","35.445","35.445"
"Sitona lineatus","521115","1.0","","","0.0","","","0.0","-37.275","174.975","33.09","33.09","5.92","0.0","0.0","0.0","0.0","33.09","33.09","33.09","33.09","33.09","33.09"
"Sitona lineatus","521116","1.0","29.142","29.142","1.0","29.142","29.142","1.0","-37.225","174.925","29.142","29.142","6.02","0.0","0.0","0.0","0.0","29.142","29.142","29.142","29.142","29.142","29.142"
"Sitona lineatus","521117","1.0","","","0.0","","","0.0","-37.225","174.925","29.142","29.142","6.02","0.0","0.0","0.0","0.0","29.142","29.142","29.142","29.142","29.142","29.142"
"Sitona lineatus","521121","1.0","30.75","32.363","2.0","30.75","32.363","2.0","-37.225","174.825","30.75","30.75","6.1","0.0","0.0","0.0","0.0","30.75","32.363","31.5565","30.75","32.363","31.5565"
"Sitona lineatus","521122","1.0","29.767","34.162","5.0","29.767","34.162","5.0","-37.125","174.825","32.852","32.852","6.29","0.0","0.0","0.0","0.0","29.767","34.162","32.1034","29.767","34.162","32.1034"
"Sitona lineatus","521131","1.0","29.701","33.09","4.0","29.701","33.09","4.0","-37.225","174.975","29.701","29.701","5.82","0.0","0.0","0.0","0.0","29.701","33.09","31.6985","29.701","33.09","31.6985"
"Sitona lineatus","521132","1.0","25.41","28.514","6.0","25.41","28.514","6.0","-37.125","175.075","26.829","26.829","5.56","0.0","0.0","0.0","0.0","25.41","28.514","26.8591666666667","25.41","28.514","26.8591666666667"
"Sitona lineatus","521134","1.0","26.871","27.583","2.0","26.871","27.583","2.0","-37.175","175.125","27.583","27.583","5.71","0.0","0.0","0.0","0.0","26.871","27.583","27.227","26.871","27.583","27.227"
"Sitona lineatus","521135","1.0","23.303","40.597","9.0","23.303","40.597","9.0","-37.175","175.175","33.467","33.467","5.65","0.0","0.0","0.0","0.0","23.303","40.597","34.9956666666667","23.303","40.597","34.9956666666667"
"Sitona lineatus","521136","1.0","44.051","45.559","3.0","44.051","45.559","3.0","-37.125","175.275","45.559","45.559","6.18","0.0","0.0","0.0","0.0","44.051","45.559","44.6023333333333","44.051","45.559","44.6023333333333"
"Sitona lineatus","521151","1.0","31.235","35.595","9.0","31.235","35.595","9.0","-37.125","174.625","32.741","32.741","6.12","0.0","0.0","0.0","0.0","31.235","35.595","32.8228888888889","31.235","35.595","32.8228888888889"
"Sitona lineatus","521152","1.0","33.992","35.5","3.0","33.992","35.5","3.0","-37.225","174.775","33.992","33.992","6.09","0.0","0.0","0.0","0.0","33.992","35.5","34.62","33.992","35.5","34.62"
"Sitona lineatus","521153","1.0","30.154","37.933","5.0","30.154","37.933","5.0","-37.275","174.775","36.579","36.579","6.31","0.0","0.0","0.0","0.0","30.154","37.933","35.044","30.154","37.933","35.044"
"Sitona lineatus","521160","1.0","27.441","27.441","1.0","27.441","27.441","1.0","-37.175","174.975","27.441","27.441","5.87","0.0","0.0","0.0","0.0","27.441","27.441","27.441","27.441","27.441","27.441"
"Sitona lineatus","521201","1.0","31.288","31.288","1.0","31.288","31.288","1.0","-37.075","174.925","31.288","31.288","6.35","0.0","0.0","0.0","0.0","31.288","31.288","31.288","31.288","31.288","31.288"
