X,Y,OBJECTID,ATF_CODE,FACILITY,ADDRESS_1,ADDRESS_2,ADDRESS_3,ADDRESS_4,CITY,STATUS,CONTAINE_2,proportionToHere
1758343.739,5905854.355,4699,16284,Quatius NZ Ltd,47 Rennie Drive,Mangere Z1,PO Box 53 181,PO Box 53 181,Auckland,current 2009/10,27,1.1915410638098297e-06
1760396.922,5912095.314,4700,16286,Salad Foods Ltd,133 Captain Springs Rd,Onehunga Auckland Z1,PO Box 13897,"Onehunga, Auckland 1643",Auckland,current 2009/10,2,0.0002880453303660614
1757414.504,5926522.898,4701,16287,KP Supplies NZ Ltd,65b Barrys Point Road,Takapuna Z2,65b Barrys Point Road,Takapuna  0622,Auckland,current 2009/10,3,0.0002880453303660614
1761123.817,5913578.298,4702,16288,$2 & More Store,4 Botha Road,Penrose Z1,PO Box 13962,"Onehunga, Auckland 1643",Auckland,current 2009/10,19,0.0002880453303660614
1768753.986,5911204.922,4703,16289,Hamex Corporation,136A Cryers Rd,East Tamaki Auckland Z2,136A Cryers Rd,"East Tamaki,  Auckland 2013",Auckland,current 2009/10,5,0.0002880453303660614
1564897.816,5178754.761,4704,16305,Transpacific Cleanaway,25 Kilronan Place,Sockburn,PO Box 11337,Sockburn  8443,Christchurch,current 2009/10,4,1.1915410638098297e-06
1764909.684,5902549.78,4705,16307,Punjas (NZ) Ltd,Units 2-3 /31 Ha Crescent,Manukau Z1,PO Box 75 052,Manurewa 2243,Auckland,current 2009/10,101,0.0002880453303660614
1757447.68,5435116.804,4706,16308,Ducted Heating Supplies Limited,"Unit 1, 2B Udy Street",Petone,PO Box 38709,"Wellington Mail Centre, Wellington 5045",Wellington,current 2009/10,17,0.00030305714073883467
1753686.306,5444179.154,4707,16309,Bidvest Foodservice - WLG,9-11 Matiu Close,Elsdon,PO Box 13333,Johnsonville 6440,Porirua,current 2009/10,23,0.00030305714073883467
1768912.497,5883058.419,4708,16310,Fargo International Ltd,71F Adams Drive,Pukekohe Z2,PO Box 988,Pukekohe 2340,Auckland,current 2009/10,23,1.1915410638098297e-06
1765178.889,5902468.523,4709,16311,Doosan Construction Equipment (NZ) Ltd,211 Roscommon Road,Manukau Z1,PO Box 76 732,"Manukau City, Auckland 2241",Auckland,current 2009/10,1,0.0002880453303660614
1565040.806,5187247.098,4710,16312,Urban Paving and Landscape Supplies,575 Sawyers Arms Road,Harewood,PO Box 20298,"Bishopdale, Christchurch 8543",Christchurch,current 2009/10,5,1.7572828390663113e-07
1564203.116,5185880.482,4711,16313,Christchurch Engine Centre-16313,751 Harewood Road,Harewood,751 Harewood Road,"Harewood, Christchurch 8051",Christchurch,current 2009/10,5,1.7572828390663113e-07
1770582.022,5900253.679,4713,16315,Lubricants NZ Ltd,20 Marphona Crescent,Takanini Z2,20 Marphona Crescent,Takanini,Auckland,current 2009/10,89,1.1915410638098297e-06
1760505.72,5912352.429,4714,16316,Millen Homeware Ltd,262 Church Street,Penrose Z1,PO Box 112296,Penrose 1642,Auckland,current 2009/10,27,0.0002880453303660614
