Code,v0.0,v1.0,v10.0,v11.0,v12.0,v13.0,v2.0,v3.0,v4.0,v5.0,v6.0,v7.0,v8.0,v9.0
1,0.0022155747669309767,3.222654280572271e-05,0.0,5.639644991001475e-05,0.0,8.904701998393502e-06,0.0007437546677417539,4.240351085760278e-07,0.0,0.00010346416271305996,8.056635701430678e-06,0.00012169759789823377,9.03191253096631e-05,0.0005393705451267117
2,0.004794055249176473,6.9731714319257e-05,0.0,0.00012203050005869975,0.0,1.9267972354137458e-05,0.0016093345267358971,9.175261284095282e-07,0.0,0.0002238755016348525,1.743292857981425e-05,0.0002633289639890411,0.00019543230192660318,0.0011670886632716576
3,0.000791719779989795,1.1515924337467127e-05,0.0,2.0152867590567472e-05,0.0,3.1820315036393555e-06,0.00026577540541615545,1.5152591006206398e-07,0.0,3.697217776743353e-05,2.8789810843667817e-06,4.348776528392275e-05,3.227489276657975e-05,0.00019274020253995765
4,0.009206003014247158,0.0001339055014691323,0.0,0.00023433462757098153,0.0,3.700020178138143e-05,0.0030903979478767414,1.7619213514987403e-06,0.0,0.0004299071320090829,3.3476375367283076e-05,0.0005056694406344454,0.0003752877818683106,0.00224115517938977
5,0.005967403819000806,8.679860300018202e-05,0.0,0.00015189755525031853,0.0,2.3983822846061928e-05,0.002003220343057864,1.142091327304704e-06,0.0,0.00027866919632727047,2.1699650750045505e-05,0.00032777892278810605,0.00024326450244253341,0.0014527344772499653
6,0.009258511241149672,0.00013466925751437307,0.0,0.0002356712006501529,0.0,3.7211239621317925e-05,0.003108024633031531,1.7719708122653404e-06,0.0,0.00043235919086672254,3.366731437859327e-05,0.0005085536245398177,0.00037742830864997533,0.002253938043408066
7,0.0030104980564779876,4.3789063646912065e-05,0.0,7.663086138209611e-05,0.0,1.2099608850850596e-05,0.0010106054713895092,5.761741329157923e-07,0.0,0.00014058593978042585,1.0947265911728016e-05,0.00016536132628833383,0.00012272461090725333,0.0007328906259727343
8,0.009402262748444492,0.00013676018857766586,0.0,0.00023933033001091527,0.0,3.778899684864607e-05,0.003156281119854377,1.7994831701931943e-06,0.0,0.0004390721800029913,3.4190047144416466e-05,0.0005164496402343199,0.0003832884179970404,0.0022889336255972398
9,0.004772780679283767,6.942226602279064e-05,0.0,0.00012148896553988363,0.0,1.918246690974166e-05,0.0016021927859569045,9.134544244485474e-07,0.0,0.00022288200974557705,1.735556650569766e-05,0.0002621603895446558,0.0001945650323707623,0.0011619094761227355
10,0.007011096459710275,0.00010197958721423871,0.0,0.00017846427762491774,0.0,2.8178568192574415e-05,0.0023535814704734154,1.3418418971472557e-06,0.0,0.0003274081451601138,2.5494896803559677e-05,0.00038510711103713016,0.00028581120761718594,0.0017068162067255118
11,0.009083363889434082,0.0001321216596126376,0.0,0.00023121290432211584,0.0,3.650729814477027e-05,0.0030492287565278813,1.7384496567575078e-06,0.0,0.0004241800608427039,3.30304149031594e-05,0.0004989330907170978,0.0003702883304179752,0.00221129930063921
12,0.013747314002099987,0.00019996093553912027,0.0,0.0003499316371934605,0.0,5.525235992672615e-05,0.004614887798228826,2.6310751830704617e-06,0.0,0.0006419798392771243,4.999023388478007e-05,0.0007551156099894523,0.0005604168248164729,0.00334671452212461
13,0.01397929870319992,0.00020333525854182607,0.0,0.00035583670244819564,0.0,5.618473858634718e-05,0.0046927636193760175,2.675474342777064e-06,0.0,0.000652813191967267,5.083381463545652e-05,0.000767858118748075,0.0005698738088918031,0.003403190032028819
14,0.01397929870319992,0.00020333525854182607,0.0,0.00035583670244819564,0.0,5.618473858634718e-05,0.0046927636193760175,2.675474342777064e-06,0.0,0.000652813191967267,5.083381463545652e-05,0.000767858118748075,0.0005698738088918031,0.003403190032028819
