Code,AU2013_NAM,EI_min,EI_max,EI_mean,EI_count,EI_median,EI_stdev,GI_min,GI_max,GI_mean,GI_count,GI_median,GI_stdev,Latitude,Longitude,EI,GI,generations,CS,HS,DS,WS,EI_min_cor,EI_max_cor,EI_avg_cor,GI_min_cor,GI_max_cor,GI_avg_cor
532903,Sunshine-Hospital Hill,,,,0,,,,,,0,,,-38.875,175.275,49.779,49.779,2.99,0,0,0,0,49.779,49.779,49.779,49.779,49.779,49.779
532904,Manunui,,,,0,,,,,,0,,,-38.875,175.325,49.723,49.723,2.95,0,0,0,0,49.723,49.723,49.723,49.723,49.723,49.723
533000,Whitianga,69.332,69.332,69.332,1,69.332,,69.332,69.332,69.332,1,69.332,,-36.825,175.675,69.332,69.332,4.37,0,0,0,0,69.332,69.332,69.332,69.332,69.332,69.332
533100,Coromandel,66.752,66.752,66.752,1,66.752,,66.752,66.752,66.752,1,66.752,,-36.775,175.525,66.752,66.752,3.97,0,0,0,0,66.752,66.752,66.752,66.752,66.752,66.752
533200,Te Rerenga,49.21,69.323,65.28321429,42,66.772,3.93824056,49.21,69.323,65.28321429,42,66.772,3.93824056,-36.775,175.575,66.906,66.906,3.99,0,0,0,0,49.21,69.323,65.28321429,49.21,69.323,65.28321429
533300,Whangamata,64.89,64.89,64.89,1,64.89,,64.89,64.89,64.89,1,64.89,,-37.225,175.875,64.89,64.89,4.22,0,0,0,0,64.89,64.89,64.89,64.89,64.89,64.89
533400,Tairua,,,,0,,,,,,0,,,-37.025,175.825,69.423,69.423,4.38,0,0,0,0,69.423,69.423,69.423,69.423,69.423,69.423
533501,Moanataiari,,,,0,,,,,,0,,,-37.125,175.575,57.613,57.613,3.22,0,0,0,0,57.613,57.613,57.613,57.613,57.613,57.613
533502,Parawai,,,,0,,,,,,0,,,-37.175,175.575,64.035,64.035,3.92,0,0,0,0,64.035,64.035,64.035,64.035,64.035,64.035
533602,Pauanui Beach,,,,0,,,,,,0,,,-37.025,175.825,69.423,69.423,4.38,0,0,0,0,69.423,69.423,69.423,69.423,69.423,69.423
533603,Hikuai,47.083,69.423,60.81097619,42,62.1665,5.869753684,47.083,69.423,60.81097619,42,62.1665,5.869753684,-37.125,175.675,52.89,52.89,2.87,0,0,0,0,47.083,69.423,60.81097619,47.083,69.423,60.81097619
533604,Te Puru-Thornton Bay,65.232,65.232,65.232,1,65.232,,65.232,65.232,65.232,1,65.232,,-37.075,175.525,65.232,65.232,3.86,0,0,0,0,65.232,65.232,65.232,65.232,65.232,65.232
533800,Ngatea,,,,0,,,,,,0,,,-37.275,175.475,63.169,63.169,3.85,0,0,0,0,63.169,63.169,63.169,63.169,63.169,63.169
533901,Hauraki Plains,55.006,63.413,62.22170588,17,63.073,2.008574923,55.006,63.413,62.22170588,17,63.073,2.008574923,-37.325,175.475,63.146,63.146,3.84,0,0,0,0,55.006,63.413,62.22170588,55.006,63.413,62.22170588
533902,Turua,63.174,63.447,63.29866667,3,63.275,0.13803019,63.174,63.447,63.29866667,3,63.275,0.13803019,-37.225,175.525,63.275,63.275,3.88,0,0,0,0,63.174,63.447,63.29866667,63.174,63.447,63.29866667
533903,Kerepehi,,,,0,,,,,,0,,,-37.275,175.525,63.174,63.174,3.85,0,0,0,0,63.174,63.174,63.174,63.174,63.174,63.174
534100,Waihi Beach,58.975,62.169,60.572,2,60.572,2.258499059,58.975,62.169,60.572,2,60.572,2.258499059,-37.425,175.925,62.169,62.169,3.83,0,0,0,0,58.975,62.169,60.572,58.975,62.169,60.572
534200,Ohinemuri,43.157,64.54,58.47333333,21,60.876,5.388328,43.157,64.54,58.47333333,21,60.876,5.388328,-37.375,175.775,60.876,60.876,3.55,0,0,0,0,43.157,64.54,58.47333333,43.157,64.54,58.47333333
534300,Paeroa,63.594,63.594,63.594,1,63.594,,63.594,63.594,63.594,1,63.594,,-37.375,175.675,63.594,63.594,3.95,0,0,0,0,63.594,63.594,63.594,63.594,63.594,63.594
534400,Waihi,,,,0,,,,,,0,,,-37.375,175.825,57.16,57.16,3.27,0,0,0,0,57.16,57.16,57.16,57.16,57.16,57.16
534500,Tahuroa,51.097,61.246,56.44528571,14,56.4565,3.163072397,51.097,61.246,56.44528571,14,56.4565,3.163072397,-37.675,175.525,55.651,55.651,3.29,0,0,0,0,51.097,61.246,56.44528571,51.097,61.246,56.44528571
534602,Waitoa,,,,0,,,,,,0,,,-37.625,175.625,59.36,59.36,3.55,0,0,0,0,59.36,59.36,59.36,59.36,59.36,59.36
534603,Springdale,50.288,63.292,59.97306667,15,61.011,3.673888723,50.288,63.292,59.97306667,15,61.011,3.673888723,-37.525,175.575,61.696,61.696,3.76,0,0,0,0,50.288,63.292,59.97306667,50.288,63.292,59.97306667
534604,Waihou-Walton,48.296,61.346,57.44895238,21,58.903,3.685958973,48.296,61.346,57.44895238,21,58.903,3.685958973,-37.675,175.725,59.191,59.191,3.5,0,0,0,0,48.296,61.346,57.44895238,48.296,61.346,57.44895238
534800,Te Aroha,,,,0,,,,,,0,,,-37.525,175.725,52.698,52.698,2.94,0,0,0,0,52.698,52.698,52.698,52.698,52.698,52.698
534901,Morrinsville West,,,,0,,,,,,0,,,-37.675,175.525,55.651,55.651,3.29,0,0,0,0,55.651,55.651,55.651,55.651,55.651,55.651
