"Species","Code","N_models","EI_min","EI_max","EI_count","GI_min","GI_max","GI_count","Latitude","Longitude","EI","GI","generations","CS","HS","DS","WS","EI_min_cor","EI_max_cor","EI_avg_cor","GI_min_cor","GI_max_cor","GI_avg_cor"
"Rhynchophorus ferrugineus","548611","1.0","","","0.0","","","0.0","-39.625","176.775","21.439","21.439","1.26","0.0","0.0","0.0","0.0","21.439","21.439","21.439","21.439","21.439","21.439"
"Rhynchophorus ferrugineus","548612","1.0","21.439","21.439","1.0","21.439","21.439","1.0","-39.625","176.775","21.439","21.439","1.26","0.0","0.0","0.0","0.0","21.439","21.439","21.439","21.439","21.439","21.439"
"Rhynchophorus ferrugineus","548620","1.0","","","0.0","","","0.0","-39.625","176.775","21.439","21.439","1.26","0.0","0.0","0.0","0.0","21.439","21.439","21.439","21.439","21.439","21.439"
"Rhynchophorus ferrugineus","548810","1.0","","","0.0","","","0.0","-39.675","176.875","21.401","21.401","1.27","0.0","0.0","0.0","0.0","21.401","21.401","21.401","21.401","21.401","21.401"
"Rhynchophorus ferrugineus","548821","1.0","21.401","21.401","1.0","21.401","21.401","1.0","-39.675","176.875","21.401","21.401","1.27","0.0","0.0","0.0","0.0","21.401","21.401","21.401","21.401","21.401","21.401"
"Rhynchophorus ferrugineus","548822","1.0","18.348","18.348","1.0","18.348","18.348","1.0","-39.725","176.875","18.348","18.348","1.07","0.0","0.0","0.0","0.0","18.348","18.348","18.348","18.348","18.348","18.348"
"Rhynchophorus ferrugineus","548831","1.0","","","0.0","","","0.0","-39.675","176.875","21.401","21.401","1.27","0.0","0.0","0.0","0.0","21.401","21.401","21.401","21.401","21.401","21.401"
"Rhynchophorus ferrugineus","548832","1.0","","","0.0","","","0.0","-39.675","176.875","21.401","21.401","1.27","0.0","0.0","0.0","0.0","21.401","21.401","21.401","21.401","21.401","21.401"
"Rhynchophorus ferrugineus","548833","1.0","21.141","21.141","1.0","21.141","21.141","1.0","-39.675","176.925","21.141","21.141","1.24","0.0","0.0","0.0","0.0","21.141","21.141","21.141","21.141","21.141","21.141"
"Rhynchophorus ferrugineus","549000","1.0","","","0.0","","","0.0","-40.025","176.325","0.0","16.584","0.97","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.584","16.584","16.584"
"Rhynchophorus ferrugineus","549100","1.0","","","0.0","","","0.0","-39.925","176.575","0.0","16.164","0.95","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.164","16.164","16.164"
"Rhynchophorus ferrugineus","549200","1.0","0.0","18.864","59.0","4.0","18.864","59.0","-39.875","176.375","0.0","16.088","0.94","0.0","0.0","0.0","0.0","0.0","18.864","5.42940677966102","4.0","18.864","14.7571355932203"
"Rhynchophorus ferrugineus","549400","1.0","","","0.0","","","0.0","-39.875","176.625","18.864","18.864","1.1","0.0","0.0","0.0","0.0","18.864","18.864","18.864","18.864","18.864","18.864"
"Rhynchophorus ferrugineus","549500","1.0","","","0.0","","","0.0","-40.025","176.575","18.345","18.345","1.07","0.0","0.0","0.0","0.0","18.345","18.345","18.345","18.345","18.345","18.345"
"Rhynchophorus ferrugineus","549601","1.0","","","0.0","","","0.0","-40.275","176.625","17.176","17.176","1.01","0.0","0.0","0.0","0.0","17.176","17.176","17.176","17.176","17.176","17.176"
"Rhynchophorus ferrugineus","549602","1.0","0.0","21.097","81.0","10.975","21.097","81.0","-40.125","176.625","0.0","16.968","0.99","0.0","0.0","0.0","0.0","0.0","21.097","13.7931481481481","10.975","21.097","17.9583827160494"
"Rhynchophorus ferrugineus","549800","1.0","0.0","19.446","59.0","8.958","19.446","59.0","-40.275","176.225","0.0","15.67","0.92","0.0","0.0","0.0","0.0","0.0","19.446","2.15503389830508","8.958","19.446","14.931186440678"
