Code,EI_min_cor,EI_max_cor,EI_avg_cor,GI_min_cor,GI_max_cor,GI_avg_cor
1428,19.19100189,43.36100388,34.29051971,19.19100189,43.36100388,34.29051971
1429,9.48737812,40.52754974,23.14794159,9.48737812,40.52754974,23.14797974
1430,11.69533348,39.86795807,24.76124954,11.69533348,39.86795807,24.76127815
1431,0,39.87943268,14.37883091,0,39.87943268,14.37890244
1432,0,39.40184784,20.73655319,0,39.40184784,20.73655891
1433,0,39.37000656,21.1604023,0,39.37000656,21.1604023
1434,0,39.58014679,18.36300468,0,39.58014679,18.36303329
1435,0,39.89216995,14.20929337,0,39.89216995,14.20936489
1436,0,39.92400742,13.78544426,0,39.92400742,13.78552151
1437,0,40.24005127,14.73403263,0,40.24005127,14.7341032
1438,0,43.0054512,23.03418159,0,43.0054512,23.03419304
1439,0,43.42709351,23.73799706,0,43.42709351,23.74350548
1440,0,46.20295715,8.477463722,0,46.20295715,8.714321136
1441,0,44.04203033,12.39845848,0,44.04203033,12.45500755
1442,0,43.42900085,13.54479408,0,43.42900085,13.55019093
1443,0,47.82907486,11.69932365,0,47.82907486,11.79764938
1444,0,49.94499969,10.63407421,0,49.94499969,10.75400829
1445,0,49.94499969,10.63407421,0,49.94499969,10.75400829
1446,0,49.85945511,10.76726723,0,49.85945511,10.88444805
1447,0,48.84622955,13.96289063,0,48.84622955,13.992486
1448,0,50.08773804,13.86635685,0,50.08773804,13.87346172
1449,0,50.43538284,13.39139271,0,50.43538284,13.39799404
1450,0,50.96145248,10.45088291,0,50.96145248,10.45205021
1451,0,50.74001694,9.317275047,0,50.74001694,9.318056107
1452,0,50.93315506,9.30687809,0,50.93315506,9.31667614
1453,0,56.34100723,9.015784264,0,56.34100723,9.278028488
1454,0.117279999,53.98355865,9.300531387,0.118999995,53.98355865,9.541993141
1455,2.280444145,48.06255341,20.5631237,2.313888788,48.06255341,20.59597778
1456,0,56.3409996,9.015779495,0,56.3409996,9.278030396
1457,0,56.3409996,9.015780449,0,56.3409996,9.278030396
1458,0,56.3409996,9.015779495,0,56.3409996,9.278030396
