Code,EI_min_cor,EI_max_cor,EI_avg_cor,GI_min_cor,GI_max_cor,GI_avg_cor
3198,0,44.60699463,28.89335632,0,44.60699463,28.89335632
3199,6.760906696,45.40254211,30.01301384,6.760906696,45.40254211,30.01301384
3200,9.101220131,45.53611374,28.43581581,9.101220131,45.53611374,28.43581581
3201,0,44.26999664,24.22468376,0,44.26999664,24.22468376
3202,0,43.91688538,21.57963943,0,43.91688538,21.57963943
3203,0,43.32099915,17.11611938,0,43.32099915,17.11611938
3204,0,43.32099915,17.11611938,0,43.32099915,17.11611938
3205,0,40.6960907,16.48391724,0,40.6960907,16.48391724
3206,0.648232579,36.37572479,16.61593437,0.648232579,36.37572479,16.61593437
3207,3.716163158,35.78407288,18.94587135,3.716163158,35.78407288,18.94587135
3208,7.10199976,38.26600266,22.86463737,7.10199976,38.26600266,22.86463737
3209,7.10199976,38.26600266,22.86463737,7.10199976,38.26600266,22.86463737
3210,7.803162098,38.85554123,23.29785347,7.803162098,38.85554123,23.29785347
3211,11.01682472,41.55757141,25.28343391,11.01682472,41.55757141,25.28343391
3212,12.56738186,42.83914566,28.18829155,12.56738186,42.83914566,28.18829155
3213,13.72967625,43.10683823,29.5094986,13.72967625,43.10683823,29.5094986
3214,13.02062988,43.31797791,29.17313004,13.02062988,43.31797791,29.17313004
3215,9.336882591,48.87089539,26.4882946,9.336882591,48.87089539,26.4882946
3216,8.252592087,49.14864349,25.37905312,8.252592087,49.14864349,25.37905312
3217,7.842720985,47.57831192,24.38456345,7.842720985,47.57831192,24.38456345
3218,4.345347881,47.9751091,23.22437668,4.345347881,47.9751091,23.22437668
3219,16.47776985,56.20184708,38.38688278,16.47776985,56.20184708,38.38688278
3220,19.81727982,56.9578476,40.31578064,19.81727982,56.9578476,40.31578064
3221,22.77305603,57.18738937,41.17557144,22.77305603,57.18738937,41.17557144
3222,35.2840004,60.56100082,48.12133408,35.2840004,60.56100082,48.12133408
3223,0,0,0,0,0,0
3224,13.90377998,49.1966362,33.52161407,13.90377998,49.1966362,33.52161407
3225,18.03567886,50.04586029,36.55398941,18.03567886,50.04586029,36.55398941
3226,18.39887238,49.76173019,36.52575684,18.39887238,49.76173019,36.52575684
3227,18.08499718,50.05599594,36.59018326,18.08499718,50.05599594,36.59018326
3228,18.08499718,50.05599594,36.59018326,18.08499718,50.05599594,36.59018326
3229,15.67905617,48.58514023,35.17369461,15.67905617,48.58514023,35.17369461
3230,1.364715934,44.22455215,29.03960991,1.364715934,44.22455215,29.03960991
3231,0.253079534,44.67482758,28.97386932,0.253079534,44.67482758,28.97386932
3232,19.02801132,48.06040955,34.21248627,19.02801132,48.06040955,34.21248627
3233,22.36300468,47.38100433,34.57204819,22.36300468,47.38100433,34.57204819
3234,21.41426277,49.28948593,35.54519272,21.41426277,49.28948593,35.54519272
3235,13.56624794,47.91918564,30.76804733,13.56624794,47.91918564,30.76804733
3236,0.739977241,43.56004333,17.77264786,0.739977241,43.56004333,17.77264786
3237,0,43.32099533,17.11612129,0,43.32099533,17.11612129
3238,0.995499969,45.84774399,19.52540207,0.995499969,45.84774399,19.52540207
3239,3.529500008,52.04627609,25.6019516,3.529500008,52.04627609,25.6019516
3240,2.88620472,47.46934891,23.26915741,2.88620472,47.46934891,23.26915741
3241,1.129863739,33.88822937,15.95249367,1.129863739,33.88822937,15.95249367
3242,5.165091515,36.84617615,20.62286186,5.165091515,36.84617615,20.62286186
3243,7.102000237,38.26599503,22.86463737,7.102000237,38.26599503,22.86463737
3244,7.102000237,38.26599503,22.86463737,7.102000237,38.26599503,22.86463737
3245,8.358249664,39.32224655,23.64081955,8.358249664,39.32224655,23.64081955
3246,9.310442924,44.840065,28.02765083,9.310442924,44.840065,28.02765083
3247,11.15830612,45.13985825,28.59508514,11.15830612,45.13985825,28.59508514
3248,7.932705402,50.04000092,26.30863762,7.932705402,50.04000092,26.30863762
3249,7.11186409,50.73406982,25.71253777,7.11186409,50.73406982,25.71253777
3250,4.32199955,47.98800278,23.28727531,4.32199955,47.98800278,23.28727531
3251,4.32199955,47.98800278,23.28727531,4.32199955,47.98800278,23.28727531
3252,15.91829872,54.84354019,35.27103043,15.91829872,54.84354019,35.27103043
3253,21.14666176,57.32886887,40.34586334,21.14666176,57.32886887,40.34586334
3254,18.86335564,55.33353424,39.33682632,18.86335564,55.33353424,39.33682632
3255,34.6629982,56.25,46.0253334,34.6629982,56.25,46.0253334
3256,23.10866547,37.5,30.6835556,23.10866547,37.5,30.6835556
3257,13.74499989,49.16400146,33.40508652,13.74499989,49.16400146,33.40508652
3258,16.68343735,46.87174988,34.10423279,16.68343735,46.87174988,34.10423279
3259,21.97240257,46.41137695,35.79225159,21.97240257,46.41137695,35.79225159
3260,17.76400948,48.76142502,35.69648743,17.76400948,48.76142502,35.69648743
3261,18.08499527,50.05600357,36.59017563,18.08499527,50.05600357,36.59017563
3262,18.08499527,50.05600357,36.59017563,18.08499527,50.05600357,36.59017563
3263,13.38630962,48.31545258,34.41258621,13.38630962,48.31545258,34.41258621
3264,11.66301346,47.98928452,33.69283676,11.66301346,47.98928452,33.69283676
3265,20.19927788,50.02074051,35.31904221,20.19927788,50.02074051,35.31904221
