Code,AU2013_NAM,EI_min,EI_max,EI_mean,EI_count,EI_median,EI_stdev,GI_min,GI_max,GI_mean,GI_count,GI_median,GI_stdev,Latitude,Longitude,EI,GI,generations,CS,HS,DS,WS,EI_min_cor,EI_max_cor,EI_avg_cor,GI_min_cor,GI_max_cor,GI_avg_cor
501634,Ngapuhi-Kaikou,20.399,33.408,27.79146429,28,28.433,2.791354729,20.399,33.408,27.79146429,28,28.433,2.791354729,-35.475,173.825,29.948,29.948,3.16,0,0,0,0,20.399,33.408,27.79146429,20.399,33.408,27.79146429
501700,Kaikohe,,,,0,,,,,,0,,,-35.425,173.775,27.294,27.294,3.1,0,0,0,0,27.294,27.294,27.294,27.294,27.294,27.294
501802,Opouteke-Tanekaha,25.985,38.714,33.63157143,35,33.735,2.88815329,25.985,38.714,33.63157143,35,33.735,2.88815329,-35.675,174.025,36.542,36.542,3.18,0,0,0,0,25.985,38.714,33.63157143,25.985,38.714,33.63157143
501806,Marsden Point-Ruakaka,,,,0,,,,,,0,,,-35.875,174.425,41.727,41.727,3.27,0,0,0,0,41.727,41.727,41.727,41.727,41.727,41.727
501807,Ngunguru,41.721,41.721,41.721,1,41.721,,41.721,41.721,41.721,1,41.721,,-35.625,174.525,41.721,41.721,3.27,0,0,0,0,41.721,41.721,41.721,41.721,41.721,41.721
501809,Wharekohe-Oakleigh,32.263,40.813,37.525,14,37.477,2.046148916,32.263,40.813,37.525,14,37.477,2.046148916,-35.775,174.175,37.434,37.434,3.12,0,0,0,0,32.263,40.813,37.525,32.263,40.813,37.525
501810,Maungatapere,,,,0,,,,,,0,,,-35.775,174.225,37.442,37.442,3.19,0,0,0,0,37.442,37.442,37.442,37.442,37.442,37.442
501811,Waiotira-Springfield,37.21,41.962,39.88906667,15,39.863,1.622637424,37.21,41.962,39.88906667,15,39.863,1.622637424,-35.925,174.275,37.392,37.392,3.16,0,0,0,0,37.21,41.962,39.88906667,37.21,41.962,39.88906667
501814,Punaruku-Kiripaka,26.999,37.542,33.64991304,23,33.705,2.868642281,26.999,37.542,33.64991304,23,33.705,2.868642281,-35.525,174.375,35.385,35.385,3.18,0,0,0,0,26.999,37.542,33.64991304,26.999,37.542,33.64991304
501815,Bream Bay,37.12,42.551,40.894,5,41.478,2.161471605,37.12,42.551,40.894,5,41.478,2.161471605,-35.975,174.375,41.478,41.478,3.18,0,0,0,0,37.12,42.551,40.894,37.12,42.551,40.894
501816,Waipu,42.533,43.63,43.0815,2,43.0815,0.775696139,42.533,43.63,43.0815,2,43.0815,0.775696139,-36.025,174.475,43.63,43.63,3.2,0,0,0,0,42.533,43.63,43.0815,42.533,43.63,43.0815
501817,Pataua-Whareora,36.087,40.623,38.6388,5,38.596,1.911720482,36.087,40.623,38.6388,5,38.596,1.911720482,-35.725,174.475,40.355,40.355,3.27,0,0,0,0,36.087,40.623,38.6388,36.087,40.623,38.6388
501818,Parua Bay,40.913,40.913,40.913,1,40.913,,40.913,40.913,40.913,1,40.913,,-35.775,174.425,40.913,40.913,3.27,0,0,0,0,40.913,40.913,40.913,40.913,40.913,40.913
501819,Bream Head,44.293,44.784,44.5385,2,44.5385,0.34718943,44.293,44.784,44.5385,2,44.5385,0.34718943,-35.825,174.525,44.784,44.784,3.26,0,0,0,0,44.293,44.784,44.5385,44.293,44.784,44.5385
502001,Springs Flat,35.894,35.894,35.894,1,35.894,,35.894,35.894,35.894,1,35.894,,-35.625,174.275,32.96,32.96,3.19,0,0,0,0,35.894,35.894,35.894,35.894,35.894,35.894
502002,Three Mile Bush,,,,0,,,,,,0,,,-35.725,174.275,37.369,37.369,3.03,0,0,0,0,37.369,37.369,37.369,37.369,37.369,37.369
502003,Te Hihi,,,,0,,,,,,0,,,-35.725,174.275,37.369,37.369,3.03,0,0,0,0,37.369,37.369,37.369,37.369,37.369,37.369
502004,Abbey Caves,,,,0,,,,,,0,,,-35.725,174.375,36.087,36.087,3.26,0,0,0,0,36.087,36.087,36.087,36.087,36.087,36.087
502005,Otaika-Portland,39.795,39.795,39.795,1,39.795,,39.795,39.795,39.795,1,39.795,,-35.775,174.275,39.795,39.795,3.2,0,0,0,0,39.795,39.795,39.795,39.795,39.795,39.795
502101,Kamo West,,,,0,,,,,,0,,,-35.675,174.275,36.134,36.134,3.11,0,0,0,0,36.134,36.134,36.134,36.134,36.134,36.134
502102,Kamo East,,,,0,,,,,,0,,,-35.675,174.325,35.894,35.894,3.21,0,0,0,0,35.894,35.894,35.894,35.894,35.894,35.894
502201,Tikipunga West,,,,0,,,,,,0,,,-35.675,174.325,35.894,35.894,3.21,0,0,0,0,35.894,35.894,35.894,35.894,35.894,35.894
502202,Tikipunga East,,,,0,,,,,,0,,,-35.675,174.325,35.894,35.894,3.21,0,0,0,0,35.894,35.894,35.894,35.894,35.894,35.894
502300,Whau Valley,,,,0,,,,,,0,,,-35.675,174.325,35.894,35.894,3.21,0,0,0,0,35.894,35.894,35.894,35.894,35.894,35.894
