Code,AU2013_NAM,area,area_sqkm
507720,Crown Hill,930330,0.9303302000
507800,Lake Pupuke,1748093,1.7480931100
507900,Westlake,3659617,3.6596169100
508010,Takapuna Central,2290688,2.2906877900
508020,Hauraki,1761597,1.7615971300
508110,Seacliffe,1364271,1.3642707700
508120,Bayswater,974235,0.9742346100
508210,Kaipatiki,1489824,1.4898238200
508220,Windy Ridge,1830254,1.8302539800
508310,Glenfield Central,1383267,1.3832665700
508320,Glenfield North,2030801,2.0308006800
508411,Glendhu,2113960,2.1139596500
508412,Witheford,1009795,1.0097953400
508420,Target Road,2427493,2.4274933200
508510,Forrest Hill,1719785,1.7197848500
508520,Sunnynook,2017589,2.0175892500
508610,Monarch Park,1574114,1.5741136600
508620,Sunnybrae,1334145,1.3341454100
508701,Albany,7784459,7.7844594200
508703,Fairview,1602002,1.6020018400
508704,Northcross,1299976,1.2999757900
508803,Unsworth Heights,1808671,1.8086705300
508804,Pinehill,1634114,1.6341142200
508805,Windsor Park,2686022,2.6860215500
508806,North Harbour West,2881303,2.8813029500
508807,North Harbour East,5162599,5.1625985300
508900,Long Bay,10454082,10.4540824000
509000,Paremoremo East,13755512,13.7555118000
509100,Greenhithe,9126668,9.1266684400
509300,Narrow Neck,1733004,1.7330038400
509400,Mt Victoria,1841499,1.8414992500
509500,Stanley Bay,1057760,1.0577600800
509701,Ocean View,1382022,1.3820223100
509702,Tuff Crater,2027212,2.0272121800
509800,Northcote South,1762409,1.7624091600
510010,Beachhaven North,1808367,1.8083667400
510020,Beachhaven South,1860355,1.8603549700
510210,Birkdale North,1006760,1.0067602000
510220,Birkdale South,1383620,1.3836203800
510401,Kauri Park,1895198,1.8951979500
510402,Chelsea,3275853,3.2758525200
510500,Birkenhead East,1622914,1.6229141100
510700,Henderson North,2058295,2.0582953100
510800,Henderson South,3121686,3.1216855400
511001,Tangutu,1244765,1.2447650300
511002,Woodglen,1427180,1.4271798300
511100,Glen Eden East,2507777,2.5077771700
511301,New Lynn North,670681,0.6706812100
511302,New Lynn South,689273,0.6892725900
511303,Lynnmall,1705487,1.7054866600
511401,Fruitvale,1296173,1.2961727000
511402,Rewarewa,1317585,1.3175850800
511601,Glendene North,1465703,1.4657031800
511602,Glendene South,1098542,1.0985420900
511700,Kelston Central,1580185,1.5801854700
511800,Sunnyvale,2661410,2.6614104500
511901,Kaurilands,1507520,1.5075195200
511902,Crum Park,1992874,1.9928735400
512000,Titirangi South,4295066,4.2950658500
512100,Green Bay,2168384,2.1683843000
512201,Matipo,1108540,1.1085400400
512202,Durham Green,1607756,1.6077563200
512300,Te Atatu Central,2744630,2.7446302900
512401,Edmonton,1064468,1.0644682100
512402,Wakeling,1362892,1.3628922100
512500,Mcleod,2080223,2.0802226100
512600,Konini,1971782,1.9717817400
512700,Waima,3497220,3.4972201700
512801,Laingholm,4333966,4.3339657500
512802,Armour Bay,1478669,1.4786685700
512902,Otimai,16806393,16.8063931000
512903,Parrs Park West,712464,0.7124644800
512904,Parrs Park,580410,0.5804101300
512905,Oratia West,793034,0.7930335000
512906,Oratia,1059968,1.0599678700
513011,Henderson West,730030,0.7300297500
513012,Palm Heights,1339938,1.3399384800
513013,McLaren Park,775358,0.7753583700
513020,Opanuku,22604861,22.6048611000
513101,Swanson,2527342,2.5273416400
513102,Swanson South,8588537,8.5885369200
513211,Urlich,633656,0.6336563200
513212,Starling Park,755813,0.7558127000
513213,Ranui Domain,849498,0.8494983600
513214,Ranui South,986888,0.9868883100
513220,Sturges North,3758503,3.7585025700
513301,Kingdale,2718243,2.7182425100
513302,Fairdene,1916123,1.9161230600
513410,Whenuapai West,17573261,17.5732606000
513420,Herald,1909355,1.9093545800
513431,Hobsonville East,5853352,5.8533518500
513432,Hobsonville South,856943,0.8569426200
513511,Westgate,1095557,1.0955570900
513512,Royal Road West,896515,0.8965151700
513521,West Harbour,1651393,1.6513932400
513522,Lucken Point,1868859,1.8688585200
513530,Royal Heights,2467769,2.4677685600
513610,Massey West,2917112,2.9171120600
513621,Birdwood West,5117309,5.1173094800
513622,Birdwood East,1749578,1.7495779300
513631,Waimumu North,1728120,1.7281201800
513632,Waimumu South,1316490,1.3164895500
513701,Taupaki,14409316,14.4093157000
513702,Waitakere,13996094,13.9960937000
513800,Karekare,184047951,184.0479510000
514000,Freemans Bay,1001983,1.0019827600
514101,Auckland Harbourside,1887951,1.8879508200
514102,Auckland Central West,1166702,1.1667015500
514103,Auckland Central East,925695,0.9256949000
514200,Newton,432385,0.4323851600
514301,Grafton West,528216,0.5282162200
514302,Grafton East,397292,0.3972915700
