left,bottom,right,top,area_hex_s,Code,EA_Name,area_sqkm
1125833.045,4955002.31,1137380.056,4965002.315,5.05322,58,"-45.3594, 167.01862",64.673
1125833.045,4965002.315,1137380.056,4975002.32,5.05322,59,"-45.26286, 167.03324",63.877
1125833.045,4975002.32,1137380.056,4985002.324,5.05322,60,"-45.1796, 167.0376",76.783
1125833.045,4985002.324,1137380.056,4995002.329,5.05322,61,"-45.09862, 167.0655",41.072
1125833.045,4995002.329,1137380.056,5005002.334,5.05322,62,"-45.02223, 167.10649",1.299
1134493.303,4860002.266,1146040.314,4870002.271,5.05322,63,"-46.20453, 167.04206",68.31
1134493.303,4870002.271,1146040.314,4880002.275,5.05322,64,"-46.12339, 167.04911",86.223
1134493.303,4880002.275,1146040.314,4890002.28,5.05322,65,"-46.03388, 167.05876",86.223
1134493.303,4890002.28,1146040.314,4900002.285,5.05322,66,"-45.94436, 167.06837",86.223
1134493.303,4900002.285,1146040.314,4910002.289,5.05322,67,"-45.85483, 167.07793",86.223
1134493.303,4910002.289,1146040.314,4920002.294,5.05322,68,"-45.76531, 167.08744",86.223
1134493.303,4920002.294,1146040.314,4930002.299,5.05322,69,"-45.67578, 167.09691",86.223
1134493.303,4930002.299,1146040.314,4940002.303,5.05322,70,"-45.58625, 167.10634",86.223
1134493.303,4940002.303,1146040.314,4950002.308,5.05322,71,"-45.4985, 167.117",80.203
1134493.303,4950002.308,1146040.314,4960002.313,5.05322,72,"-45.40617, 167.12734",72.635
1134493.303,4960002.313,1146040.314,4970002.317,5.05322,73,"-45.32115, 167.13391",76.266
1134493.303,4970002.317,1146040.314,4980002.322,5.05322,74,"-45.22637, 167.14354",82.116
1134493.303,4980002.322,1146040.314,4990002.327,5.05322,75,"-45.14047, 167.15387",75.202
1134493.303,4990002.327,1146040.314,5000002.331,5.05322,76,"-45.05263, 167.16172",73.807
1134493.303,5000002.331,1146040.314,5010002.336,5.05322,77,"-44.97408, 167.19394",38.481
1143153.561,4855002.264,1154700.572,4865002.268,5.05322,78,"-46.23884, 167.15092",32.858
1143153.561,4865002.268,1154700.572,4875002.273,5.05322,79,"-46.17393, 167.15586",86.24
1143153.561,4875002.273,1154700.572,4885002.278,5.05322,80,"-46.0844, 167.16536",86.24
1143153.561,4885002.278,1154700.572,4895002.282,5.05322,81,"-45.99486, 167.17481",86.24
1143153.561,4895002.282,1154700.572,4905002.287,5.05322,82,"-45.90532, 167.18421",86.24
1143153.561,4905002.287,1154700.572,4915002.292,5.05322,83,"-45.81578, 167.19357",86.24
1143153.561,4915002.292,1154700.572,4925002.296,5.05322,84,"-45.72623, 167.20289",86.24
1143153.561,4925002.296,1154700.572,4935002.301,5.05322,85,"-45.63669, 167.21216",86.24
1143153.561,4935002.301,1154700.572,4945002.306,5.05322,86,"-45.54713, 167.22139",86.24
1143153.561,4945002.306,1154700.572,4955002.31,5.05322,87,"-45.45758, 167.23062",86.188
1143153.561,4955002.31,1154700.572,4965002.315,5.05322,88,"-45.36802, 167.23972",86.24
1143153.561,4965002.315,1154700.572,4975002.32,5.05322,89,"-45.27846, 167.24882",86.24
1143153.561,4975002.32,1154700.572,4985002.324,5.05322,90,"-45.1889, 167.25788",86.24
1143153.561,4985002.324,1154700.572,4995002.329,5.05322,91,"-45.09931, 167.26756",85.315
1143153.561,4995002.329,1154700.572,5005002.334,5.05322,92,"-45.0071, 167.2771",79.425
1143153.561,5005002.334,1154700.572,5015002.338,5.05322,93,"-44.92259, 167.28995",77.254
1143153.561,5015002.338,1154700.572,5025002.343,5.05322,94,"-44.86142, 167.31894",10.921
1151813.819,4860002.266,1163360.83,4870002.271,5.05322,95,"-46.21743, 167.26156",71.682
1151813.819,4870002.271,1163360.83,4880002.275,5.05322,96,"-46.13483, 167.27216",86.256
1151813.819,4880002.275,1163360.83,4890002.28,5.05322,97,"-46.04527, 167.28145",86.256
1151813.819,4890002.28,1163360.83,4900002.285,5.05322,98,"-45.95572, 167.2907",86.256
1151813.819,4900002.285,1163360.83,4910002.289,5.05322,99,"-45.86616, 167.2999",86.256
1151813.819,4910002.289,1163360.83,4920002.294,5.05322,100,"-45.7766, 167.30907",86.256
1151813.819,4920002.294,1163360.83,4930002.299,5.05322,101,"-45.68704, 167.31819",86.256
1151813.819,4930002.299,1163360.83,4940002.303,5.05322,102,"-45.59747, 167.32726",86.256
1151813.819,4940002.303,1163360.83,4950002.308,5.05322,103,"-45.5079, 167.3363",86.256
1151813.819,4950002.308,1163360.83,4960002.313,5.05322,104,"-45.41833, 167.34529",86.256
1151813.819,4960002.313,1163360.83,4970002.317,5.05322,105,"-45.32875, 167.35424",86.256
1151813.819,4970002.317,1163360.83,4980002.322,5.05322,106,"-45.23917, 167.36314",86.256
1151813.819,4980002.322,1163360.83,4990002.327,5.05322,107,"-45.14959, 167.37201",86.256
1151813.819,4990002.327,1163360.83,5000002.331,5.05322,108,"-45.06001, 167.38083",86.256
1151813.819,5000002.331,1163360.83,5010002.336,5.05322,109,"-44.97306, 167.38804",71.631
1151813.819,5010002.336,1163360.83,5020002.341,5.05322,110,"-44.8798, 167.40426",71.486
1151813.819,5020002.341,1163360.83,5030002.345,5.05322,111,"-44.81027, 167.42614",35.99
1160474.077,4855002.264,1172021.088,4865002.268,5.05322,112,"-46.24012, 167.33883",5.45
1160474.077,4865002.268,1172021.088,4875002.273,5.05322,113,"-46.17578, 167.35536",43.966
1160474.077,4875002.273,1172021.088,4885002.278,5.05322,114,"-46.0956, 167.38829",86.272
1160474.077,4885002.278,1172021.088,4895002.282,5.05322,115,"-46.00603, 167.39738",86.272
1160474.077,4895002.282,1172021.088,4905002.287,5.05322,116,"-45.91645, 167.40643",86.272
1160474.077,4905002.287,1172021.088,4915002.292,5.05322,117,"-45.82687, 167.41544",86.272
1160474.077,4915002.292,1172021.088,4925002.296,5.05322,118,"-45.7373, 167.42441",86.272
1160474.077,4925002.296,1172021.088,4935002.301,5.05322,119,"-45.64771, 167.43333",86.272
1160474.077,4935002.301,1172021.088,4945002.306,5.05322,120,"-45.55813, 167.44221",86.272
1160474.077,4945002.306,1172021.088,4955002.31,5.05322,121,"-45.46854, 167.45105",86.272
1160474.077,4955002.31,1172021.088,4965002.315,5.05322,122,"-45.37895, 167.45985",86.272
1160474.077,4965002.315,1172021.088,4975002.32,5.05322,123,"-45.28936, 167.4686",86.272
1160474.077,4975002.32,1172021.088,4985002.324,5.05322,124,"-45.19976, 167.47732",86.272
1160474.077,4985002.324,1172021.088,4995002.329,5.05322,125,"-45.11016, 167.48599",86.272
1160474.077,4995002.329,1172021.088,5005002.334,5.05322,126,"-45.02056, 167.49462",86.272
1160474.077,5005002.334,1172021.088,5015002.338,5.05322,127,"-44.93095, 167.50322",86.272
1160474.077,5015002.338,1172021.088,5025002.343,5.05322,128,"-44.84161, 167.51129",74.272
1160474.077,5025002.343,1172021.088,5035002.348,5.05322,129,"-44.76425, 167.53792",40.185
1160474.077,5035002.348,1172021.088,5045002.352,5.05322,130,"-44.68215, 167.58013",3.127
1169134.335,4740002.21,1180681.346,4750002.215,5.05322,131,"-47.26793, 167.3948",0.255
