Code,proportionToHere,SA22020_V1_00_NAME,SA22020_V1_00_NAME_ASCII,erp96,erp01,erp06,erp13,erp18,a0014,a1539,a4064,a6500,median_age,Eurother,Maori,Pacific,Asian,MELAA,p0014,p1539,p4064,p6500,sex_ratio,pEurother,pMaori,pPacific,pAsian,pMELAA,SHAPE_Length
238300,0.000493829,Raumati Beach East,Raumati Beach East,1690,1890,2040,2190,2420,430,560,760,660,47,2220,300,70,110,10,17.8,23.3,32,27.4,82,91.4,12.2,2.9,4.5,0.6,5350.186788
236500,0.000736663,Ōtaki,Otaki,3050,3030,2950,3200,3610,770,960,1040,850,42.3,2440,1520,230,230,20,21.3,26.6,29,23.4,90,67.4,42.1,6.5,6.3,0.5,16441.25147
247100,0.000379555,Wainuiomata Central,Wainuiomata Central,1710,1700,1690,1720,1860,390,620,580,270,36.4,1260,530,280,200,10,21.2,33.3,31,14.4,92,67.8,28.3,14.9,10.7,0.7,5817.753028
236600,0.000295889,Te Horo,Te Horo,990,1060,1160,1330,1450,220,270,670,290,50.3,1380,160,20,20,0,15.4,18.7,46,20,103,95.3,11.1,1.5,1.3,0.2,25268.66277
237100,0.000499951,Paraparaumu Beach West,Paraparaumu Beach West,1970,2120,2110,2370,2450,360,560,890,640,50.3,2210,270,60,130,20,14.5,22.8,36,26.3,90,90.3,11,2.6,5.2,1,6943.754146
236800,0.000685647,Waikanae Beach,Waikanae Beach,2060,2520,2970,3160,3360,540,750,1210,870,49.5,3100,380,80,110,20,16.1,22.3,36,25.8,96,92.3,11.3,2.3,3.3,0.5,13124.7952
236900,0.000128559,Peka Peka,Peka Peka,220,300,350,530,630,100,110,260,150,53.1,600,40,10,20,10,15.8,17.8,42,24.4,100,95.5,7,1.6,3.7,0.8,15620.38219
361900,0.000373433,Turnbull Thompson Park,Turnbull Thompson Park,1930,1780,1770,1790,1830,340,680,580,230,35.2,1570,320,60,130,10,18.8,37.2,32,12.3,89,85.9,17.5,3.3,7,0.5,7666.280468
237200,0.00043057,Waikanae Park,Waikanae Park,1740,1850,1930,1990,2110,280,380,580,860,57.6,1980,170,60,70,10,13.4,18.2,28,40.8,80,93.6,8,2.7,3.5,0.6,14547.73015
237300,0.000555048,Paraparaumu Beach East,Paraparaumu Beach East,1400,1770,2560,2560,2720,460,600,790,870,49.4,2440,260,80,170,20,17.1,22,29,31.9,85,89.8,9.5,3,6.2,0.7,4543.136138
