id,port,portId,item,itemId,yearlyItemUnits,yearlyItemUnitsSpread,timeAtSite,proportionToHere
75,Tauranga,13,Used machinery,8,266,10%,"Normal(0.5,0.1)",0.019913161
76,Timaru,14,Used machinery,8,0,10%,"Normal(0.5,0.1)",0
77,Wellington,15,Used machinery,8,2153,10%,"Normal(0.5,0.1)",0.161176823
78,Auckland,1,Sea containers,2,326657,10%,"Normal(3,0.5)",0.415939176
79,Bluff,2,Sea containers,2,26419,10%,"Normal(3,0.5)",0.033639864
80,Dunedin,3,Sea containers,2,3049,10%,"Normal(3,0.5)",0.003882355
81,Lyttelton,5,Sea containers,2,67883,10%,"Normal(3,0.5)",0.086436841
82,Marsden Point,6,Sea containers,2,867,10%,"Normal(3,0.5)",0.001103969
83,Napier,7,Sea containers,2,32081,10%,"Normal(3,0.5)",0.040849407
84,Nelson,8,Sea containers,2,13903,10%,"Normal(3,0.5)",0.01770298
85,New Plymouth,9,Sea containers,2,11,10%,"Normal(3,0.5)",1.40E-05
86,Port Chalmers,12,Sea containers,2,25834,10%,"Normal(3,0.5)",0.032894971
87,Tauranga,13,Sea containers,2,242844,10%,"Normal(3,0.5)",0.309218334
88,Timaru,14,Sea containers,2,22102,10%,"Normal(3,0.5)",0.028142938
89,Wellington,15,Sea containers,2,23691,10%,"Normal(3,0.5)",0.030166245
90,Auckland,1,Wood packaging,4,65331.4,10%,"Normal(3,0.5)",0.415942883
91,Bluff,2,Wood packaging,4,5283.8,10%,"Normal(3,0.5)",0.033640164
92,Dunedin,3,Wood packaging,4,609.8,10%,"Normal(3,0.5)",0.00388239
93,Lyttelton,5,Wood packaging,4,13576.6,10%,"Normal(3,0.5)",0.086437611
94,Marsden Point,6,Wood packaging,4,173.4,10%,"Normal(3,0.5)",0.001103979
95,Napier,7,Wood packaging,4,6416.2,10%,"Normal(3,0.5)",0.040849771
96,Nelson,8,Wood packaging,4,2780.6,10%,"Normal(3,0.5)",0.017703138
97,New Plymouth,9,Wood packaging,4,2.2,10%,"Normal(3,0.5)",1.40067E-05
98,Port Chalmers,12,Wood packaging,4,5166.8,10%,"Normal(3,0.5)",0.032895265
99,Tauranga,13,Wood packaging,4,48568.8,10%,"Normal(3,0.5)",0.30922109
100,Timaru,14,Wood packaging,4,4420.4,10%,"Normal(3,0.5)",0.028143189
101,Wellington,15,Wood packaging,4,4738.2,10%,"Normal(3,0.5)",0.030166514
102,Auckland,1,Used machinery + transport,10,9729,10%,"Normal(0.5,0.1)",0.728327594
103,Bluff,2,Used machinery + transport,10,0,10%,"Normal(0.5,0.1)",0
104,Dunedin,3,Used machinery + transport,10,203,10%,"Normal(0.5,0.1)",0.015196886
105,Gisborne,4,Used machinery + transport,10,0,10%,"Normal(0.5,0.1)",0
106,Lyttelton,5,Used machinery + transport,10,54,10%,"Normal(0.5,0.1)",0.004042521
107,Napier,7,Used machinery + transport,10,505,10%,"Normal(0.5,0.1)",0.037805061
108,Nelson,8,Used machinery + transport,10,448,10%,"Normal(0.5,0.1)",0.033537955
109,New Plymouth,9,Used machinery + transport,10,0,10%,"Normal(0.5,0.1)",0
110,Opua (Bay of Islands),10,Used machinery + transport,10,0,10%,"Normal(0.5,0.1)",0
111,Picton,11,Used machinery + transport,10,0,10%,"Normal(0.5,0.1)",0
112,Port Chalmers,12,Used machinery + transport,10,0,10%,"Normal(0.5,0.1)",0
113,Tauranga,13,Used machinery + transport,10,266,10%,"Normal(0.5,0.1)",0.019913161
114,Timaru,14,Used machinery + transport,10,0,10%,"Normal(0.5,0.1)",0
115,Wellington,15,Used machinery + transport,10,2153,10%,"Normal(0.5,0.1)",0.161176823
