Code,x,AU2013_NAM,area_sqkm,proportionToHere,dens
505904,0.7,Army Bay,8.90748485,0.000160424,0.078585595
505906,0.8,Vipond,1.50891329,0.000183341,0.530182884
505907,2.4,Stanmore Bay West,0.98628655,0.000550023,2.433369896
505908,1.2,Stanmore Bay East,1.3380759,0.000275012,0.896810114
505909,10.15,Wade Heads,3.69117148,0.002326141,2.749804515
505910,0.9,Gulf Harbour,3.84528489,0.000206259,0.234052879
506001,4.3,Weiti River,2.24222633,0.000985459,1.917736824
506002,NA,Stillwater,0.43763753,0,NA
506003,NA,Silverdale South,26.8482721,0,NA
506201,0.1,Silverdale North,28.9773456,2.29E-05,0.003450972
506202,NA,Orewa West,4.84760958,0,NA
506300,0.4,Dairy Flat-Redvale,27.4420506,9.17E-05,0.01457617
506400,NA,Paremoremo West,8.37660615,0,NA
506613,2.4,Tauhoa-Puhoi,469.215158,0.000550023,0.005114924
506614,1.4,Tahekeroa,164.534672,0.000320847,0.008508845
506616,NA,Matheson Bay,0.36825727,0,NA
506620,0.3,Kawau,20.1791172,6.88E-05,0.014866855
506631,5.2,Snells Beach,12.9057779,0.001191718,0.402920308
506633,NA,Algies Bay,3.45249842,0,NA
506634,0.1,Mahurangi,11.8418704,2.29E-05,0.008444612
506642,0.6,South Head,303.451934,0.000137506,0.001977249
506644,NA,Parakai Rural,16.9223605,0,NA
506645,1.3,Parakai Urban,1.9397997,0.000297929,0.670172286
506646,1.4,Kaukapakapa Rural,123.462791,0.000320847,0.011339449
506647,1.4,Kaukapakapa,3.23318009,0.000320847,0.433010213
506648,0.1,Helensville South,16.0501024,2.29E-05,0.00623049
506652,NA,Rewiti,77.8000702,0,NA
506653,2.05,Riverhead,123.331499,0.000469812,0.016621869
506654,0.2,Muriwai Beach,3.01222444,4.58E-05,0.066396115
506655,0.2,Muriwai Valley,32.6800682,4.58E-05,0.006119938
506656,NA,Waitakere West,20.1336118,0,NA
506657,1.05,Point Wells,0.53726678,0.000240635,1.954336354
506658,1.2,Omaha,4.85130017,0.000275012,0.24735637
506659,4.85,Matakana,0.88838324,0.001111506,5.459355582
506660,2.2,Cape Rodney,420.145563,0.000504188,0.00523628
506661,6.2,Cape Rodney South,182.463871,0.001420894,0.03397933
506800,5.95,Helensville,5.4876974,0.0013636,1.084243457
506901,0.9,Awaruku,1.33911698,0.000206259,0.672084675
506902,0.85,Glamorgan,1.02134286,0.0001948,0.832237668
506903,3,Torbay,1.6865823,0.000687529,1.778745099
507000,NA,Waiake,1.42949482,0,NA
507101,15,Browns Bay,1.66384782,0.003437647,9.01524756
507102,NA,Oaktree,1.4327258,0,NA
507200,1.8,Rothesay Bay,1.714529,0.000412518,1.049851009
507300,NA,Murrays Bay,1.64995868,0,NA
507400,4.55,Mairangi Bay,1.72659629,0.001042753,2.635242544
507500,0.25,Campbells Bay,1.70717449,5.73E-05,0.146440801
507710,0.9,Castor Bay,1.08152937,0.000206259,0.832154933
507720,1.75,Crown Hill,0.9303302,0.000401059,1.881052555
507800,10.3,Lake Pupuke,1.74809311,0.002360517,5.892134659
507900,13,Westlake,3.65961691,0.002979294,3.552284384
508010,19.05,Takapuna Central,2.29068779,0.004365811,8.31627954
508020,3.5,Hauraki,1.76159713,0.000802118,1.986833391
508110,5.8,Seacliffe,1.36427077,0.001329223,4.25135547
508120,0.8,Bayswater,0.97423461,0.000183341,0.821157442
508210,1.4,Kaipatiki,1.48982382,0.000320847,0.939708428
508220,NA,Windy Ridge,1.83025398,0,NA
508310,9.7,Glenfield Central,1.38326657,0.002223012,7.012386629
508320,8.45,Glenfield North,2.03080068,0.001936541,4.160920411
508411,1.9,Glendhu,2.11395965,0.000435435,0.898787259
508412,NA,Witheford,1.00979534,0,NA
