Code,proportionToHere
500100,0.000188084
500202,0.001414399
500203,0.000464891
500204,0.00039641000000000003
500205,0.00017522500000000002
500206,0.00023886
500207,0.0007812930000000001
500208,0.00036088
500301,0.0006284700000000001
500302,0.0006095580000000001
500401,7.517e-05
500402,0.001317348
500500,2.679e-05
500600,0.00010169
500700,6.8845e-05
500801,0.0004353160000000001
500802,0.0004475119999999999
500900,0.002109514000000001
501000,0.0004288699999999999
501100,0.0015295650000000003
501200,0.00075832
501300,0.000147475
501400,0.000514692
501500,0.000237922
501612,8.989999999999999e-05
501614,0.000576219
501615,0.000315672
501620,0.000589002
501631,0.000246549
501632,0.00011928700000000001
501633,0.00091069
501634,0.00055493
501700,0.000715685
501802,0.0008092319999999999
501806,0.0011114000000000002
501807,0.00027675
501809,0.000594657
501810,0.00025136
501811,0.00035570499999999994
501814,0.001011543
501815,0.00025510199999999994
501816,0.00039328699999999987
501817,0.000211805
501818,0.0003826899999999999
501819,0.00023948999999999997
502001,0.00031069999999999996
502002,0.00016543
502003,0.00021719999999999997
502004,0.00010447
502005,0.000206417
502101,0.0012687220000000003
502102,0.0007124589999999999
502201,0.000521007
502202,0.0005074249999999999
502300,0.00041335000000000005
502400,0.00031438
502500,4.06e-05
502600,0.00020152
502700,0.00039062
502800,0.0008551130000000001
502900,0.00045645900000000004
503000,0.0007400980000000002
503100,7.801399999999998e-05
503200,0.00021318000000000004
503300,0.00020705
503400,0.000224045
503500,0.0007995980000000001
503600,0.00039214
503700,0.00018627
503800,0.00046486
503900,3.815e-05
504000,0.0006197299999999999
504100,0.00038519499999999996
504300,0.000364229
504400,7.669e-05
504501,0.0018978800000000007
504502,0.00030513700000000003
504600,0.0020773809999999997
504700,0.000124857
504800,9.510000000000001e-05
504900,9.491000000000001e-05
505010,0.0009682040000000006
505021,0.000763068
505022,0.000795238
505300,0.00043717200000000005
505400,7.275e-05
505500,0.00069713
505601,0.000170897
505602,0.000250427
505603,0.00023671000000000003
505604,0.00026398999999999997
505605,0.00030906
505700,0.00015727
505803,4.702e-05
505804,0.00027507
505805,0.0025003110000000003
505806,0.00030192500000000003
505807,0.0004803000000000001
505808,0.0006558000000000001
505902,0.0011080800000000002
505904,0.0008275800000000001
505906,0.0004916
505907,0.00042124999999999997
505908,0.00042367999999999996
505909,0.0005602050000000001
505910,0.00044905699999999994
506001,0.000207399
506002,0.0001676
506003,0.00020779999999999998
506201,0.00018061999999999996
506202,1.435e-05
506300,0.000551786
506400,0.00013119
506613,0.0009046449999999998
506614,0.0006285000000000002
506616,2.129e-05
506620,1.29e-05
506631,0.0011784730000000002
506633,0.00011324000000000001
506634,5.8874999999999995e-05
506642,0.000267195
506644,9.5087e-05
506645,0.00022203000000000001
506646,0.0004339169999999999
506647,7.275999999999999e-05
506648,0.00012568
506652,0.00035197
506653,0.0005750500000000001
506654,0.00021375000000000002
506655,0.000615111
506656,9.900999999999999e-05
506657,6.34e-05
506658,0.00012799000000000003
506659,9.476e-05
506660,0.0006878759999999999
